temperature,pool_size,threshold,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
T0.3,5,1,0.595,0.456,0.8557,0.4298,0.6951,0.3133,0.6023,0.679,0.8646,182
T0.3,5,2,0.6349,0.5161,0.8247,0.466,0.7261,0.3571,0.6587,0.6383,0.85,155
T0.3,5,3,0.6838,0.5839,0.8247,0.5161,0.7575,0.4259,0.7105,0.6383,0.85,137
T0.3,5,4,0.6903,0.6047,0.8041,0.5287,0.7581,0.4554,0.723,0.6235,0.8293,129
T0.3,5,5,0.6729,0.6154,0.7423,0.5093,0.7407,0.4582,0.7372,0.5694,0.7757,117
T0.3,10,1,0.5552,0.4109,0.8557,0.3893,0.6721,0.2666,0.5706,0.679,0.8646,202
T0.3,10,2,0.6119,0.4795,0.8454,0.4375,0.7163,0.32,0.6352,0.663,0.86,171
T0.3,10,3,0.6279,0.5031,0.8351,0.4531,0.7255,0.3458,0.6492,0.6489,0.856,161
T0.3,10,4,0.6426,0.5263,0.8247,0.4683,0.7338,0.3636,0.6667,0.6383,0.85,152
T0.3,10,5,0.6611,0.5563,0.8144,0.4921,0.7441,0.3882,0.6905,0.625,0.8411,142
T0.3,10,6,0.681,0.5852,0.8144,0.5147,0.7541,0.4285,0.708,0.625,0.8411,135
T0.3,10,7,0.6842,0.5954,0.8041,0.5226,0.7545,0.4381,0.7195,0.6235,0.8293,131
T0.3,10,8,0.6878,0.6129,0.7835,0.5281,0.7577,0.4587,0.7273,0.6022,0.8136,124
T0.3,10,9,0.682,0.6167,0.7629,0.5263,0.75,0.4615,0.7329,0.5895,0.7952,120
T0.3,10,10,0.6571,0.6106,0.7113,0.4946,0.7273,0.4505,0.7333,0.5349,0.7477,113
T0.3,30,1,0.1736,0.0957,0.9278,0.1047,0.2518,0.0564,0.1474,0.7589,0.9179,940
T0.3,30,2,0.3352,0.2056,0.9072,0.2226,0.4363,0.1294,0.2937,0.7407,0.9065,428
T0.3,30,3,0.4422,0.2945,0.8866,0.3086,0.5486,0.1931,0.4054,0.7048,0.9,292
T0.3,30,4,0.4957,0.344,0.8866,0.3483,0.5963,0.2267,0.4602,0.7048,0.9,250
T0.3,30,5,0.5363,0.3864,0.8763,0.3815,0.6376,0.2565,0.5098,0.6932,0.8909,220
T0.3,30,6,0.5619,0.4158,0.866,0.4083,0.6556,0.2857,0.5388,0.6904,0.875,202
T0.3,30,7,0.5979,0.4565,0.866,0.4473,0.6862,0.3245,0.5785,0.6904,0.875,184
T0.3,30,8,0.6269,0.4912,0.866,0.475,0.7066,0.3575,0.6105,0.6904,0.875,171
T0.3,30,9,0.6537,0.525,0.866,0.5024,0.7266,0.3924,0.6404,0.6904,0.875,160
T0.3,30,10,0.6614,0.535,0.866,0.5098,0.7319,0.4027,0.6522,0.6904,0.875,157
T0.3,30,11,0.6774,0.5563,0.866,0.5278,0.7467,0.4184,0.6707,0.6904,0.875,151
T0.3,30,12,0.6885,0.5714,0.866,0.538,0.756,0.431,0.685,0.6904,0.875,147
T0.3,30,13,0.7241,0.6222,0.866,0.578,0.7879,0.4814,0.7317,0.6904,0.875,135
T0.3,30,14,0.7345,0.6434,0.8557,0.5821,0.7947,0.5,0.7533,0.6731,0.8684,129
T0.3,30,15,0.7339,0.6612,0.8247,0.5797,0.7937,0.5143,0.7728,0.6449,0.8381,121
T0.3,30,16,0.7407,0.6723,0.8247,0.5871,0.7985,0.5283,0.7794,0.6449,0.8381,119
T0.3,30,17,0.7477,0.6838,0.8247,0.596,0.8073,0.5416,0.7961,0.6449,0.8381,117
T0.3,30,18,0.7379,0.6972,0.7835,0.5861,0.7956,0.5579,0.8069,0.6082,0.8088,109
T0.3,30,19,0.72,0.699,0.7423,0.5749,0.7791,0.5604,0.8103,0.5714,0.7851,103
T0.3,30,20,0.7179,0.7143,0.7216,0.5731,0.7826,0.5795,0.8241,0.542,0.7733,98
T0.3,30,21,0.6915,0.7143,0.6701,0.5283,0.7686,0.5749,0.8223,0.4615,0.7596,91
T0.3,30,22,0.6989,0.7303,0.6701,0.5339,0.7752,0.5908,0.8404,0.4615,0.7596,89
T0.3,30,23,0.6851,0.7381,0.6392,0.4999,0.7757,0.597,0.8445,0.4111,0.7471,84
T0.3,30,24,0.6743,0.7564,0.6082,0.4861,0.7619,0.6206,0.8539,0.3846,0.7131,78
T0.3,30,25,0.6347,0.7571,0.5464,0.437,0.7403,0.6129,0.8621,0.3271,0.6707,70
T0.3,30,26,0.6115,0.8,0.4948,0.3968,0.7273,0.6545,0.9012,0.2761,0.6364,60
T0.3,30,27,0.6133,0.8679,0.4742,0.3949,0.7345,0.7447,0.9524,0.2641,0.6168,53
T0.3,30,28,0.5931,0.8958,0.4433,0.3714,0.7155,0.7804,0.9762,0.2381,0.5817,48
T0.3,30,29,0.5441,0.9487,0.3814,0.3232,0.6622,0.861,1.0,0.1981,0.5091,39
T0.3,30,30,0.339,0.9524,0.2062,0.1654,0.4747,0.8461,1.0,0.0908,0.3182,21
T0.7,5,1,0.4706,0.3292,0.8247,0.3113,0.5912,0.2,0.4677,0.6371,0.8475,243
T0.7,5,2,0.5954,0.4727,0.8041,0.4418,0.6859,0.3313,0.6034,0.6195,0.8298,165
T0.7,5,3,0.6414,0.5429,0.7835,0.4756,0.7245,0.3859,0.6734,0.5918,0.8118,140
T0.7,5,4,0.6728,0.6083,0.7526,0.506,0.754,0.4513,0.7325,0.559,0.792,120
T0.7,5,5,0.5946,0.625,0.567,0.4156,0.6851,0.443,0.7601,0.3767,0.6446,88
T0.7,10,1,0.4134,0.2759,0.8247,0.2639,0.5399,0.165,0.4066,0.6363,0.8462,290
T0.7,10,2,0.5369,0.398,0.8247,0.3803,0.6376,0.2664,0.534,0.6363,0.8462,201
T0.7,10,3,0.6061,0.479,0.8247,0.4414,0.6928,0.3333,0.6091,0.6363,0.8462,167
T0.7,10,4,0.6185,0.5066,0.7938,0.451,0.7059,0.3594,0.6334,0.6022,0.8197,152
T0.7,10,5,0.6471,0.5461,0.7938,0.482,0.728,0.3963,0.6686,0.6022,0.8197,141
