condition,replication,threshold,n_passes,f1,precision,recall,f1_ci_lo,f1_ci_hi,p_ci_lo,p_ci_hi,r_ci_lo,r_ci_hi,n_detections
E,3,1,5,0.2565,0.1505,0.866,0.1593,0.3569,0.0895,0.2256,0.6808,0.8764,558
E,3,2,5,0.5736,0.4524,0.7835,0.4106,0.6667,0.3087,0.5803,0.5778,0.8212,168
E,3,3,5,0.6698,0.6102,0.7423,0.4893,0.7543,0.4421,0.7364,0.5263,0.7947,118
E,3,4,5,0.6813,0.7294,0.6392,0.4943,0.7576,0.5577,0.835,0.4285,0.7076,85
E,3,5,5,0.4857,0.7907,0.3505,0.2742,0.6099,0.6,0.9167,0.1753,0.478,43
E,2,1,5,0.2692,0.1612,0.8144,0.1716,0.357,0.098,0.2309,0.6311,0.8409,490
E,2,2,5,0.548,0.4185,0.7938,0.3954,0.6418,0.2857,0.5489,0.6044,0.8209,184
E,2,3,5,0.6484,0.582,0.732,0.5,0.7186,0.433,0.7163,0.5463,0.7732,122
E,2,4,5,0.6145,0.6707,0.567,0.4737,0.6784,0.53,0.8,0.4166,0.6216,82
E,2,5,5,0.391,0.7222,0.268,0.2222,0.5211,0.5333,0.878,0.1372,0.3853,36
E,4,1,5,0.2603,0.1529,0.8763,0.1667,0.3553,0.094,0.2244,0.7019,0.8913,556
E,4,2,5,0.5854,0.4421,0.866,0.4246,0.6892,0.2994,0.5754,0.6923,0.8786,190
E,4,3,5,0.6727,0.6016,0.7629,0.5024,0.7583,0.4389,0.7434,0.5648,0.8013,123
E,4,4,5,0.7253,0.7765,0.6804,0.5413,0.796,0.6285,0.8835,0.4687,0.7478,85
E,4,5,5,0.4429,0.7209,0.3196,0.2685,0.5625,0.5333,0.8612,0.1759,0.4348,43
B,3,1,5,0.2823,0.169,0.8557,0.1854,0.3661,0.106,0.2365,0.7051,0.8537,491
B,3,2,5,0.5918,0.4647,0.8144,0.4548,0.6667,0.34,0.5844,0.6545,0.8172,170
B,3,3,5,0.7163,0.6525,0.7938,0.5764,0.7715,0.5142,0.7687,0.6355,0.8058,118
B,3,4,5,0.678,0.75,0.6186,0.5438,0.7196,0.6136,0.8537,0.4666,0.6423,80
B,3,5,5,0.5493,0.8667,0.4021,0.3662,0.6359,0.76,0.95,0.2342,0.5,45
D,1,1,5,0.2872,0.173,0.8454,0.1801,0.3969,0.1031,0.2652,0.6667,0.8667,474
D,1,2,5,0.5448,0.4269,0.7526,0.3895,0.6387,0.2927,0.5518,0.5772,0.7852,171
D,1,3,5,0.6311,0.5547,0.732,0.4685,0.7148,0.3965,0.6897,0.5466,0.7692,128
D,1,4,5,0.6667,0.6442,0.6907,0.5122,0.7354,0.4951,0.7647,0.5125,0.7357,104
D,1,5,5,0.6706,0.7808,0.5876,0.4767,0.7683,0.6333,0.8889,0.3643,0.7099,73
B,2,1,5,0.2481,0.1451,0.8557,0.1609,0.3305,0.0906,0.2078,0.7,0.8572,572
B,2,2,5,0.5591,0.4286,0.8041,0.4086,0.6476,0.2947,0.5506,0.6315,0.8229,182
B,2,3,5,0.6455,0.5772,0.732,0.4916,0.7192,0.4255,0.7131,0.5581,0.7627,123
B,2,4,5,0.6369,0.6951,0.5876,0.481,0.7105,0.5499,0.8052,0.4048,0.6667,82
B,2,5,5,0.5205,0.7755,0.3918,0.3529,0.6082,0.6216,0.9,0.238,0.4722,49
B,4,1,5,0.2762,0.1647,0.8557,0.1762,0.3755,0.1013,0.2416,0.6666,0.8783,504
B,4,2,5,0.5333,0.4043,0.7835,0.3715,0.6426,0.2635,0.5486,0.5851,0.8214,188
B,4,3,5,0.6044,0.5312,0.701,0.4623,0.6827,0.3841,0.6667,0.5319,0.7373,128
B,4,4,5,0.581,0.6341,0.5361,0.4093,0.6696,0.4843,0.7675,0.3394,0.6383,82
B,4,5,5,0.5211,0.8222,0.3814,0.3276,0.6345,0.6742,0.9286,0.2128,0.5001,45
D,3,1,5,0.2424,0.1421,0.8247,0.1484,0.3411,0.082,0.219,0.6518,0.85,563
D,3,2,5,0.5035,0.3838,0.732,0.3492,0.604,0.2466,0.5152,0.56,0.7714,185
D,3,3,5,0.6079,0.5308,0.7113,0.4516,0.6959,0.3888,0.6692,0.5442,0.75,130
D,3,4,5,0.5789,0.5914,0.567,0.4137,0.6769,0.4405,0.7246,0.3555,0.6771,93
D,3,5,5,0.557,0.7213,0.4536,0.3709,0.6715,0.5713,0.84,0.2641,0.5816,61
B,1,1,5,0.268,0.1592,0.8454,0.1694,0.3653,0.0952,0.2354,0.6703,0.8689,515
B,1,2,5,0.5788,0.4489,0.8144,0.4206,0.6712,0.3133,0.5747,0.6184,0.8488,176
B,1,3,5,0.7037,0.6387,0.7835,0.5492,0.7759,0.4999,0.7616,0.593,0.8209,119
B,1,4,5,0.7487,0.7778,0.7216,0.6041,0.7981,0.6571,0.8704,0.5463,0.7589,90
B,1,5,5,0.6909,0.8382,0.5876,0.5322,0.7378,0.7352,0.9181,0.4091,0.6397,68
E,5,1,5,0.2729,0.1627,0.8454,0.1744,0.3797,0.0998,0.2474,0.6729,0.8572,504
E,5,2,5,0.5568,0.4318,0.7835,0.4156,0.6512,0.304,0.5598,0.6087,0.808,176
