threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1328,0.311,0.7662,0.4424,0.3821,0.5067,0.2566,0.3718,0.7128,0.818
0.05,1028,0.4008,0.7644,0.5258,0.4668,0.5817,0.3407,0.4608,0.7095,0.8172
0.1,783,0.5223,0.7588,0.6188,0.5676,0.6677,0.4669,0.5734,0.7046,0.8118
0.15,613,0.6493,0.7384,0.691,0.6442,0.7386,0.5979,0.6977,0.6817,0.7944
0.2,606,0.6551,0.7365,0.6934,0.6456,0.742,0.6041,0.7048,0.6795,0.793
0.25,560,0.6804,0.7069,0.6934,0.6458,0.7405,0.6255,0.7282,0.6515,0.7636
0.3,560,0.6804,0.7069,0.6934,0.6458,0.7405,0.6255,0.7282,0.6515,0.7636
0.35,552,0.683,0.6994,0.6911,0.6439,0.7386,0.6304,0.7289,0.6431,0.7564
0.4,552,0.683,0.6994,0.6911,0.6439,0.7386,0.6304,0.7289,0.6431,0.7564
0.45,522,0.6935,0.6716,0.6824,0.6328,0.7313,0.6386,0.7414,0.6161,0.7291
0.5,522,0.6935,0.6716,0.6824,0.6328,0.7313,0.6386,0.7414,0.6161,0.7291
0.55,522,0.6935,0.6716,0.6824,0.6328,0.7313,0.6386,0.7414,0.6161,0.7291
0.6,522,0.6935,0.6716,0.6824,0.6328,0.7313,0.6386,0.7414,0.6161,0.7291
0.65,522,0.6935,0.6716,0.6824,0.6328,0.7313,0.6386,0.7414,0.6161,0.7291
0.7,520,0.6942,0.6698,0.6818,0.6321,0.7301,0.6385,0.7405,0.6128,0.7259
0.75,514,0.6926,0.6605,0.6762,0.624,0.7266,0.6365,0.7419,0.6041,0.7177
0.8,507,0.6923,0.6512,0.6711,0.6203,0.7187,0.6362,0.7399,0.5946,0.7077
0.85,507,0.6923,0.6512,0.6711,0.6203,0.7187,0.6362,0.7399,0.5946,0.7077
0.9,453,0.7042,0.5918,0.6431,0.5914,0.6915,0.6482,0.7553,0.534,0.6481
0.95,446,0.6996,0.5788,0.6335,0.5807,0.6821,0.6446,0.751,0.5223,0.6355
1.0,304,0.7204,0.4063,0.5196,0.4672,0.5691,0.659,0.7772,0.3566,0.4561
