threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1689,0.2593,0.8126,0.3932,0.3549,0.4311,0.2282,0.2898,0.7639,0.8574
0.05,1376,0.3161,0.8071,0.4543,0.4148,0.493,0.2834,0.3495,0.7593,0.8526
0.1,1225,0.3527,0.8015,0.4898,0.4524,0.5275,0.3194,0.3864,0.7531,0.8466
0.15,993,0.422,0.7774,0.547,0.5089,0.5863,0.3851,0.4609,0.7289,0.8251
0.2,982,0.4257,0.7755,0.5496,0.5119,0.5897,0.3885,0.465,0.727,0.8227
0.25,903,0.4396,0.7365,0.5506,0.5116,0.588,0.4016,0.4785,0.6834,0.7845
0.3,903,0.4396,0.7365,0.5506,0.5116,0.588,0.4016,0.4785,0.6834,0.7845
0.35,896,0.442,0.7347,0.5519,0.5112,0.59,0.4038,0.4823,0.6808,0.7835
0.4,896,0.442,0.7347,0.5519,0.5112,0.59,0.4038,0.4823,0.6808,0.7835
0.45,845,0.4473,0.7013,0.5462,0.5068,0.5851,0.4106,0.4893,0.6453,0.7529
0.5,845,0.4473,0.7013,0.5462,0.5068,0.5851,0.4106,0.4893,0.6453,0.7529
0.55,845,0.4473,0.7013,0.5462,0.5068,0.5851,0.4106,0.4893,0.6453,0.7529
0.6,845,0.4473,0.7013,0.5462,0.5068,0.5851,0.4106,0.4893,0.6453,0.7529
0.65,843,0.4484,0.7013,0.547,0.5072,0.586,0.4113,0.4904,0.6453,0.7529
0.7,838,0.4499,0.6994,0.5476,0.51,0.5854,0.4134,0.4891,0.6441,0.7513
0.75,832,0.4495,0.6939,0.5456,0.5079,0.5832,0.4131,0.4889,0.6406,0.7446
0.8,816,0.4547,0.6883,0.5476,0.5081,0.5845,0.4171,0.4955,0.6364,0.7398
0.85,814,0.4533,0.6846,0.5455,0.5069,0.5822,0.4158,0.4936,0.6316,0.7363
0.9,723,0.4675,0.6271,0.5357,0.4976,0.5738,0.4297,0.5081,0.5717,0.6795
0.95,718,0.468,0.6234,0.5346,0.4959,0.573,0.4293,0.5086,0.5681,0.675
1.0,496,0.4798,0.4416,0.4599,0.4201,0.498,0.4363,0.5229,0.3894,0.4913
