threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,1335,0.3049,0.7551,0.4344,0.3775,0.4918,0.2539,0.3584,0.7053,0.8049
0.05,1035,0.3903,0.7495,0.5133,0.4587,0.5679,0.3351,0.4487,0.6991,0.8003
0.1,776,0.5155,0.7421,0.6084,0.5574,0.6537,0.4627,0.5654,0.69,0.7933
0.15,594,0.6498,0.7161,0.6814,0.6328,0.7257,0.5989,0.697,0.6641,0.7686
0.2,588,0.6531,0.7124,0.6815,0.6336,0.7248,0.6019,0.699,0.6608,0.7647
0.25,541,0.6821,0.6846,0.6833,0.64,0.7257,0.6337,0.7274,0.638,0.7372
0.3,541,0.6821,0.6846,0.6833,0.64,0.7257,0.6337,0.7274,0.638,0.7372
0.35,533,0.6886,0.6809,0.6847,0.6409,0.725,0.6381,0.7331,0.6336,0.7331
0.4,532,0.6898,0.6809,0.6853,0.6415,0.7261,0.6384,0.7344,0.6336,0.7331
0.45,504,0.6944,0.6494,0.6711,0.6268,0.715,0.6436,0.7389,0.602,0.7011
0.5,504,0.6944,0.6494,0.6711,0.6268,0.715,0.6436,0.7389,0.602,0.7011
0.55,504,0.6944,0.6494,0.6711,0.6268,0.715,0.6436,0.7389,0.602,0.7011
0.6,504,0.6944,0.6494,0.6711,0.6268,0.715,0.6436,0.7389,0.602,0.7011
0.65,504,0.6944,0.6494,0.6711,0.6268,0.715,0.6436,0.7389,0.602,0.7011
0.7,501,0.6946,0.6456,0.6692,0.6254,0.712,0.6436,0.7391,0.5976,0.6957
0.75,497,0.6942,0.6401,0.666,0.6221,0.708,0.6434,0.7376,0.5935,0.6908
0.8,491,0.6986,0.6364,0.666,0.6214,0.7073,0.647,0.7446,0.5893,0.687
0.85,490,0.698,0.6345,0.6647,0.621,0.7051,0.647,0.7439,0.5881,0.6842
0.9,442,0.7081,0.5807,0.6381,0.5937,0.6801,0.6563,0.7532,0.5331,0.6311
0.95,439,0.7062,0.5751,0.6339,0.5907,0.6753,0.6549,0.7507,0.5286,0.624
1.0,305,0.7443,0.4212,0.5379,0.4922,0.5826,0.6887,0.7967,0.3763,0.4667
