threshold,n_accepted,precision,recall,f1,f1_ci_lower,f1_ci_upper,p_ci_lower,p_ci_upper,r_ci_lower,r_ci_upper
0.0,590,0.6559,0.718,0.6856,0.632,0.7351,0.5854,0.7191,0.6642,0.7739
0.05,491,0.7841,0.7143,0.7476,0.6979,0.792,0.7241,0.8388,0.6614,0.7699
0.1,446,0.8565,0.7087,0.7756,0.7336,0.8171,0.8096,0.8946,0.6558,0.7647
0.15,403,0.928,0.6939,0.7941,0.752,0.8343,0.894,0.9569,0.6396,0.75
0.2,401,0.9302,0.692,0.7936,0.7508,0.8352,0.8951,0.9584,0.6365,0.7495
0.25,374,0.9385,0.6512,0.7689,0.7233,0.8147,0.9032,0.9675,0.5936,0.711
0.3,374,0.9385,0.6512,0.7689,0.7233,0.8147,0.9032,0.9675,0.5936,0.711
0.35,372,0.9382,0.6475,0.7662,0.7201,0.8126,0.9019,0.9673,0.589,0.7061
0.4,372,0.9382,0.6475,0.7662,0.7201,0.8126,0.9019,0.9673,0.589,0.7061
0.45,355,0.9437,0.6215,0.7494,0.7026,0.7949,0.9106,0.9713,0.5629,0.6823
0.5,355,0.9437,0.6215,0.7494,0.7026,0.7949,0.9106,0.9713,0.5629,0.6823
0.55,355,0.9437,0.6215,0.7494,0.7026,0.7949,0.9106,0.9713,0.5629,0.6823
0.6,355,0.9437,0.6215,0.7494,0.7026,0.7949,0.9106,0.9713,0.5629,0.6823
0.65,355,0.9437,0.6215,0.7494,0.7026,0.7949,0.9106,0.9713,0.5629,0.6823
0.7,355,0.9437,0.6215,0.7494,0.7026,0.7949,0.9106,0.9713,0.5629,0.6823
0.75,354,0.9435,0.6197,0.748,0.7009,0.7949,0.9104,0.9711,0.5586,0.6795
0.8,350,0.9429,0.6122,0.7424,0.695,0.7895,0.9091,0.9708,0.5541,0.6736
0.85,349,0.9427,0.6104,0.741,0.694,0.788,0.9091,0.9706,0.5527,0.6716
0.9,305,0.9443,0.5343,0.6825,0.6332,0.7315,0.9057,0.9748,0.4807,0.5922
0.95,304,0.9441,0.5325,0.6809,0.6313,0.7296,0.9057,0.9748,0.4781,0.5892
1.0,207,0.942,0.3618,0.5228,0.4713,0.5742,0.8973,0.9785,0.3158,0.4115
