label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t3,5,0.2047,0.1708,0.2427,0.1583,0.1278,0.1929,0.2897,0.2471,0.3357,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.28952772073921973,487,zero_fraction_heuristic,
consensus_t3,10,0.463,0.4098,0.514,0.358,0.3026,0.4123,0.6552,0.6052,0.7045,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.29774127310061604,487,zero_fraction_heuristic,
consensus_t3,15,0.5686,0.5081,0.6243,0.4397,0.374,0.5027,0.8046,0.757,0.8449,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30184804928131415,487,zero_fraction_heuristic,
consensus_t3,20,0.6109,0.5482,0.6667,0.4724,0.4036,0.5381,0.8644,0.819,0.8998,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30184804928131415,487,zero_fraction_heuristic,
consensus_t3,25,0.6271,0.5632,0.6827,0.4849,0.4147,0.5517,0.8874,0.8426,0.9199,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,30,0.6353,0.5714,0.6916,0.4912,0.4198,0.559,0.8989,0.8553,0.9292,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,35,0.6369,0.5731,0.6929,0.4925,0.4211,0.5607,0.9011,0.8575,0.9308,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,40,0.6401,0.5764,0.6965,0.495,0.4234,0.5629,0.9057,0.8617,0.9348,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,45,0.6401,0.5764,0.6965,0.495,0.4234,0.5629,0.9057,0.8617,0.9348,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,50,0.6401,0.5764,0.6965,0.495,0.4234,0.5629,0.9057,0.8617,0.9348,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,75,0.6434,0.5788,0.6993,0.4975,0.4257,0.5662,0.9103,0.867,0.9394,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,100,0.6434,0.5788,0.6993,0.4975,0.4257,0.5662,0.9103,0.867,0.9394,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,125,0.645,0.5805,0.7012,0.4987,0.4269,0.5675,0.9126,0.8689,0.9417,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
consensus_t3,150,0.645,0.5805,0.7012,0.4987,0.4269,0.5675,0.9126,0.8689,0.9417,0.4318,0.3557,0.5019,0.8952,0.5078,0.4321,0.8953,0.5081,normal,False,0.30390143737166325,487,zero_fraction_heuristic,
