label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus-2of5-recovery-reeval-2026-09-08,5,0.1521,0.1261,0.1826,0.0976,0.079,0.1202,0.3448,0.2986,0.3944,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,10,0.3245,0.2806,0.372,0.2082,0.1743,0.2461,0.7356,0.6901,0.778,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10677618069815195,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,15,0.3844,0.3345,0.4369,0.2466,0.2076,0.2903,0.8713,0.8362,0.9012,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,20,0.4128,0.3606,0.4657,0.2648,0.2239,0.3097,0.9356,0.9097,0.9561,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,25,0.4199,0.367,0.474,0.2694,0.2277,0.3154,0.9517,0.928,0.9694,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,30,0.4239,0.3712,0.4782,0.272,0.2302,0.3179,0.9609,0.9387,0.9769,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,35,0.4249,0.3722,0.4792,0.2726,0.2311,0.3187,0.9632,0.9409,0.9785,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,40,0.4249,0.3722,0.4792,0.2726,0.2311,0.3187,0.9632,0.9409,0.9785,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,45,0.426,0.373,0.4804,0.2733,0.2314,0.3198,0.9655,0.9439,0.9806,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,50,0.427,0.3741,0.4816,0.2739,0.232,0.3202,0.9678,0.9467,0.9822,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,75,0.428,0.375,0.4828,0.2746,0.2327,0.3209,0.9701,0.9492,0.984,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,100,0.43,0.3767,0.4849,0.2759,0.2336,0.3224,0.9747,0.9571,0.9868,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,125,0.43,0.3767,0.4849,0.2759,0.2336,0.3224,0.9747,0.9571,0.9868,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus-2of5-recovery-reeval-2026-09-08,150,0.43,0.3767,0.4849,0.2759,0.2336,0.3224,0.9747,0.9571,0.9868,0.1971,0.1153,0.2659,0.9563,0.1667,0.1967,0.9563,0.1666,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
