label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,5,0.177,0.1446,0.2132,0.1342,0.1073,0.1653,0.2598,0.2143,0.3075,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.25667351129363447,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,10,0.4448,0.3981,0.4919,0.3373,0.2924,0.3865,0.6529,0.6016,0.6993,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26283367556468173,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,15,0.5466,0.494,0.5999,0.4145,0.3611,0.472,0.8023,0.7489,0.845,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.2648870636550308,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,20,0.5748,0.5212,0.6281,0.4359,0.3808,0.4958,0.8437,0.7897,0.8839,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.2648870636550308,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,25,0.5873,0.5333,0.64,0.4454,0.3894,0.5051,0.8621,0.8093,0.8995,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.2669404517453799,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,30,0.5998,0.5462,0.6521,0.4549,0.3979,0.5148,0.8805,0.8263,0.9147,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.2669404517453799,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,35,0.6045,0.5506,0.6568,0.4584,0.4012,0.5188,0.8874,0.8327,0.9214,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.2669404517453799,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,40,0.6092,0.555,0.6615,0.462,0.404,0.5223,0.8943,0.8406,0.9268,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,45,0.6092,0.555,0.6615,0.462,0.404,0.5223,0.8943,0.8406,0.9268,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,50,0.6092,0.555,0.6615,0.462,0.404,0.5223,0.8943,0.8406,0.9268,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,75,0.6139,0.5582,0.6657,0.4656,0.4068,0.5267,0.9011,0.8473,0.932,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,100,0.6139,0.5582,0.6657,0.4656,0.4068,0.5267,0.9011,0.8473,0.932,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,125,0.6155,0.5606,0.6678,0.4667,0.4078,0.5278,0.9034,0.8496,0.9343,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
pro-text-high-t0-consensus-3of3-recovery-reeval-2026-09-08,150,0.6155,0.5606,0.6678,0.4667,0.4078,0.5278,0.9034,0.8496,0.9343,0.3894,0.3131,0.4597,0.9127,0.4341,0.3893,0.9126,0.4342,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
