label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified_detections,5,0.0855,0.0771,0.0946,0.0915,0.0824,0.1013,0.0803,0.0723,0.0889,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6380985833040628,8541,zero_fraction_heuristic,
verified_detections,10,0.2754,0.2617,0.2905,0.2947,0.2798,0.3107,0.2585,0.2448,0.2732,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6431331225851774,8541,zero_fraction_heuristic,
verified_detections,15,0.4788,0.4632,0.4942,0.5122,0.4949,0.5288,0.4494,0.4333,0.4655,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6506263903524178,8541,zero_fraction_heuristic,
verified_detections,20,0.626,0.6113,0.6408,0.6698,0.6538,0.6856,0.5877,0.571,0.6038,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6563634234867112,8541,zero_fraction_heuristic,
verified_detections,25,0.7102,0.6969,0.7228,0.7598,0.7453,0.7738,0.6667,0.6509,0.682,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6595246458260157,8541,zero_fraction_heuristic,
verified_detections,30,0.7569,0.7447,0.7685,0.8098,0.7961,0.8228,0.7105,0.6952,0.7253,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6615150450766889,8541,zero_fraction_heuristic,
verified_detections,35,0.7778,0.7662,0.7888,0.8321,0.819,0.8447,0.7301,0.7153,0.7446,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6625687858564571,8541,zero_fraction_heuristic,
verified_detections,40,0.7868,0.7755,0.7977,0.8417,0.8289,0.854,0.7385,0.7237,0.7531,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6626858681653203,8541,zero_fraction_heuristic,
verified_detections,45,0.7903,0.7793,0.8012,0.8456,0.8325,0.8577,0.7419,0.7271,0.7565,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6626858681653203,8541,zero_fraction_heuristic,
verified_detections,50,0.7921,0.7811,0.8029,0.8475,0.8345,0.8594,0.7436,0.7287,0.758,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6628029504741834,8541,zero_fraction_heuristic,
verified_detections,75,0.7944,0.7835,0.8051,0.8499,0.837,0.862,0.7457,0.731,0.7601,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6629200327830465,8541,zero_fraction_heuristic,
verified_detections,100,0.7957,0.7848,0.8063,0.8513,0.8383,0.8632,0.7469,0.7322,0.7613,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6630371150919097,8541,zero_fraction_heuristic,
verified_detections,125,0.7969,0.7859,0.8073,0.8525,0.8396,0.8643,0.748,0.7334,0.7625,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6631541974007727,8541,zero_fraction_heuristic,
verified_detections,150,0.7978,0.7869,0.8082,0.8535,0.8406,0.8653,0.7488,0.7342,0.7633,0.648,0.6321,0.664,0.6439,0.9531,0.6479,0.6438,0.9531,sparse_cross_grid,False,0.6632712797096358,8541,zero_fraction_heuristic,
