label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified_detections,5,0.0886,0.0806,0.0974,0.0926,0.0842,0.102,0.0849,0.0772,0.0935,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6355227725090739,8541,zero_fraction_heuristic,
verified_detections,10,0.2836,0.27,0.2974,0.2966,0.282,0.3113,0.2718,0.2581,0.2858,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6409085587167779,8541,zero_fraction_heuristic,
verified_detections,15,0.4749,0.4599,0.4906,0.4966,0.4801,0.5135,0.4551,0.4396,0.4712,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6468797564687976,8541,zero_fraction_heuristic,
verified_detections,20,0.6308,0.6167,0.6454,0.6595,0.6434,0.6751,0.6045,0.5886,0.6204,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6522655426765016,8541,zero_fraction_heuristic,
verified_detections,25,0.719,0.7064,0.7312,0.7517,0.737,0.7657,0.689,0.6741,0.7036,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6558950942512586,8541,zero_fraction_heuristic,
verified_detections,30,0.7643,0.7528,0.7754,0.7991,0.7855,0.8122,0.7324,0.718,0.7462,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6584709050462475,8541,zero_fraction_heuristic,
verified_detections,35,0.7869,0.776,0.7973,0.8228,0.8096,0.8352,0.7541,0.7399,0.7673,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.659758810443742,8541,zero_fraction_heuristic,
verified_detections,40,0.7964,0.7858,0.8065,0.8326,0.8198,0.8448,0.7632,0.7491,0.7763,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6599929750614683,8541,zero_fraction_heuristic,
verified_detections,45,0.803,0.7926,0.8128,0.8395,0.8267,0.8516,0.7695,0.7554,0.7825,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6603442219880576,8541,zero_fraction_heuristic,
verified_detections,50,0.8047,0.7944,0.8145,0.8414,0.8286,0.8534,0.7712,0.7572,0.7843,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6604613042969207,8541,zero_fraction_heuristic,
verified_detections,75,0.8078,0.7976,0.8176,0.8446,0.8319,0.8566,0.7741,0.7601,0.7872,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6604613042969207,8541,zero_fraction_heuristic,
verified_detections,100,0.8087,0.7984,0.8183,0.8455,0.833,0.8575,0.775,0.7611,0.788,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6605783866057838,8541,zero_fraction_heuristic,
verified_detections,125,0.8096,0.7993,0.8192,0.8464,0.8338,0.8583,0.7758,0.7619,0.7888,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6605783866057838,8541,zero_fraction_heuristic,
verified_detections,150,0.8105,0.8001,0.8201,0.8474,0.8348,0.8593,0.7767,0.7629,0.7897,0.6541,0.6385,0.6701,0.6557,0.9508,0.6541,0.6556,0.9508,sparse_cross_grid,False,0.6605783866057838,8541,zero_fraction_heuristic,
