label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
detections_384_run11,5,0.167,0.1313,0.2074,0.1458,0.1098,0.1867,0.1954,0.154,0.2429,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.31006160164271046,487,processed_tiles,247
detections_384_run11,10,0.3124,0.2537,0.3742,0.2727,0.2103,0.3408,0.3655,0.2987,0.4348,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.31211498973305957,487,processed_tiles,247
detections_384_run11,15,0.3576,0.2919,0.4233,0.3122,0.2421,0.3855,0.4184,0.3451,0.492,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.31211498973305957,487,processed_tiles,247
detections_384_run11,20,0.3831,0.3153,0.4516,0.3345,0.2599,0.4104,0.4483,0.3715,0.5245,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3141683778234086,487,processed_tiles,247
detections_384_run11,25,0.4008,0.3313,0.4679,0.3499,0.2749,0.4277,0.469,0.391,0.5449,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3141683778234086,487,processed_tiles,247
detections_384_run11,30,0.4067,0.3364,0.4746,0.3551,0.2784,0.434,0.4759,0.3963,0.5516,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3141683778234086,487,processed_tiles,247
detections_384_run11,35,0.4126,0.3412,0.4815,0.3602,0.2822,0.4399,0.4828,0.4039,0.5602,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3141683778234086,487,processed_tiles,247
detections_384_run11,40,0.4145,0.3432,0.4826,0.3619,0.2838,0.4412,0.4851,0.4054,0.5621,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3162217659137577,487,processed_tiles,247
detections_384_run11,45,0.4204,0.3478,0.4891,0.3671,0.2872,0.448,0.492,0.4125,0.5693,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3162217659137577,487,processed_tiles,247
detections_384_run11,50,0.4204,0.3478,0.4891,0.3671,0.2872,0.448,0.492,0.4125,0.5693,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3162217659137577,487,processed_tiles,247
detections_384_run11,75,0.4263,0.3538,0.4954,0.3722,0.2925,0.4534,0.4989,0.419,0.5765,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3182751540041068,487,processed_tiles,247
detections_384_run11,100,0.4283,0.3553,0.4985,0.3739,0.294,0.4564,0.5011,0.4204,0.5797,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3182751540041068,487,processed_tiles,247
detections_384_run11,125,0.4283,0.3553,0.4985,0.3739,0.294,0.4564,0.5011,0.4204,0.5797,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3182751540041068,487,processed_tiles,247
detections_384_run11,150,0.4283,0.3553,0.4985,0.3739,0.294,0.4564,0.5011,0.4204,0.5797,0.0298,-0.0609,0.1174,0.5066,0.5233,0.03,0.5066,0.5234,partial_coverage,True,0.3182751540041068,487,processed_tiles,247
