label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t1,5,0.0633,0.0509,0.0793,0.0347,0.0276,0.0441,0.3586,0.3109,0.4087,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,10,0.1324,0.1096,0.159,0.0726,0.0593,0.0888,0.7494,0.7062,0.7894,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,15,0.1571,0.131,0.1879,0.0862,0.0708,0.105,0.8897,0.8559,0.9177,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,20,0.1669,0.1396,0.1989,0.0915,0.0754,0.1111,0.9448,0.9161,0.9647,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,25,0.1709,0.1432,0.2035,0.0937,0.0773,0.1136,0.9678,0.9462,0.9822,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,30,0.1721,0.1442,0.2049,0.0944,0.0779,0.1145,0.9747,0.9552,0.9872,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,35,0.1726,0.1447,0.2054,0.0946,0.0781,0.1148,0.977,0.9581,0.989,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,40,0.1726,0.1447,0.2054,0.0946,0.0781,0.1148,0.977,0.9581,0.989,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,45,0.173,0.145,0.2059,0.0949,0.0783,0.115,0.9793,0.96,0.9906,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,50,0.173,0.145,0.2059,0.0949,0.0783,0.115,0.9793,0.96,0.9906,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,75,0.1734,0.1454,0.2062,0.0951,0.0785,0.1152,0.9816,0.9627,0.9926,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,100,0.1738,0.1459,0.2066,0.0953,0.0788,0.1154,0.9839,0.969,0.9932,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,125,0.1738,0.1459,0.2066,0.0953,0.0788,0.1154,0.9839,0.969,0.9932,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
consensus_t1,150,0.1742,0.1462,0.2074,0.0955,0.0789,0.1159,0.9862,0.9717,0.995,0.0882,-0.0016,0.1545,0.9869,0.0426,0.0874,0.9869,0.0427,normal,False,0.028747433264887063,487,zero_fraction_heuristic,
