label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t4,5,0.254,0.2458,0.262,0.2019,0.1944,0.2106,0.3425,0.3317,0.3523,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.28336755646817247,487
consensus_t4,10,0.5098,0.4987,0.5205,0.4051,0.3941,0.4172,0.6874,0.6776,0.696,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.28952772073921973,487
consensus_t4,15,0.6036,0.5932,0.6154,0.4797,0.4678,0.494,0.8138,0.8055,0.8218,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2915811088295688,487
consensus_t4,20,0.6394,0.6288,0.6502,0.5081,0.4955,0.5215,0.8621,0.8542,0.8698,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,25,0.6496,0.6385,0.6608,0.5163,0.5029,0.5304,0.8759,0.8682,0.8831,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,30,0.6564,0.6455,0.6677,0.5217,0.5084,0.5355,0.8851,0.8777,0.8918,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,35,0.6564,0.6455,0.6677,0.5217,0.5084,0.5355,0.8851,0.8777,0.8918,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,40,0.6564,0.6455,0.6677,0.5217,0.5084,0.5355,0.8851,0.8777,0.8918,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,45,0.6564,0.6455,0.6677,0.5217,0.5084,0.5355,0.8851,0.8777,0.8918,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,50,0.6564,0.6455,0.6677,0.5217,0.5084,0.5355,0.8851,0.8777,0.8918,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,75,0.6564,0.6455,0.6677,0.5217,0.5084,0.5355,0.8851,0.8777,0.8918,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,100,0.6581,0.6472,0.6692,0.523,0.5097,0.5367,0.8874,0.8799,0.894,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,125,0.6581,0.6472,0.6692,0.523,0.5097,0.5367,0.8874,0.8799,0.894,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
consensus_t4,150,0.6581,0.6472,0.6692,0.523,0.5097,0.5367,0.8874,0.8799,0.894,0.3876,0.3713,0.4045,0.8819,0.4766,normal,False,0.2936344969199179,487
