label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
detections_propose_brief-text_run03,5,0.126,0.1203,0.1317,0.0796,0.0757,0.0837,0.3011,0.2901,0.3117,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,10,0.2808,0.2714,0.292,0.1775,0.1703,0.1859,0.6713,0.6596,0.6812,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,15,0.3462,0.3349,0.358,0.2188,0.2101,0.2278,0.8276,0.8182,0.8359,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,20,0.3683,0.3563,0.3796,0.2328,0.2239,0.2421,0.8805,0.8717,0.8875,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,25,0.3779,0.3664,0.3904,0.2389,0.2301,0.2487,0.9034,0.8964,0.9094,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,30,0.3875,0.3764,0.4007,0.245,0.2362,0.2556,0.9264,0.9194,0.9315,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,35,0.3913,0.3805,0.4049,0.2474,0.2389,0.2583,0.9356,0.9296,0.9403,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,40,0.3923,0.3815,0.4056,0.248,0.2395,0.2587,0.9379,0.9323,0.9428,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,45,0.3942,0.3834,0.4075,0.2492,0.2405,0.2598,0.9425,0.9373,0.9468,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,50,0.3942,0.3834,0.4075,0.2492,0.2405,0.2598,0.9425,0.9373,0.9468,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,75,0.3962,0.3856,0.4093,0.2505,0.242,0.2609,0.9471,0.9421,0.9515,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,100,0.4,0.3894,0.4131,0.2529,0.2445,0.2634,0.9563,0.9523,0.96,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,125,0.4,0.3894,0.4131,0.2529,0.2445,0.2634,0.9563,0.9523,0.96,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
detections_propose_brief-text_run03,150,0.4,0.3894,0.4131,0.2529,0.2445,0.2634,0.9563,0.9523,0.96,0.2864,0.2748,0.298,0.9956,0.1705,normal,False,0.09240246406570841,487
