label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
detections_vt4_pt0.05,5,0.1488,0.1414,0.157,0.1767,0.1674,0.1858,0.1285,0.122,0.1361,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5382262996941896,327
detections_vt4_pt0.05,10,0.4501,0.4397,0.4606,0.5345,0.5242,0.5449,0.3887,0.3785,0.4003,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5443425076452599,327
detections_vt4_pt0.05,15,0.6425,0.6315,0.6524,0.7629,0.7528,0.7733,0.5549,0.5428,0.5661,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5504587155963303,327
detections_vt4_pt0.05,20,0.7223,0.7136,0.7316,0.8578,0.8492,0.8653,0.6238,0.6128,0.6356,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5535168195718655,327
detections_vt4_pt0.05,25,0.755,0.7469,0.7632,0.8966,0.8889,0.903,0.652,0.6412,0.6628,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,30,0.7659,0.7573,0.7739,0.9095,0.9029,0.9159,0.6614,0.6502,0.6725,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,35,0.784,0.775,0.7923,0.931,0.925,0.9375,0.6771,0.6654,0.6893,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,40,0.7913,0.7822,0.8003,0.9397,0.9334,0.946,0.6834,0.672,0.6959,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,45,0.7913,0.7822,0.8003,0.9397,0.9334,0.946,0.6834,0.672,0.6959,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,50,0.7913,0.7822,0.8003,0.9397,0.9334,0.946,0.6834,0.672,0.6959,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,75,0.7985,0.7899,0.8072,0.9483,0.9429,0.954,0.6897,0.6784,0.7016,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,100,0.7985,0.7899,0.8072,0.9483,0.9429,0.954,0.6897,0.6784,0.7016,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,125,0.7985,0.7899,0.8072,0.9483,0.9429,0.954,0.6897,0.6784,0.7016,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
detections_vt4_pt0.05,150,0.7985,0.7899,0.8072,0.9483,0.9429,0.954,0.6897,0.6784,0.7016,0.7602,0.7496,0.7728,0.7677,0.9709,sparse_cross_grid,True,0.5565749235474006,327
