label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
detections_brief-text-t03_run02,5,0.2434,0.234,0.2531,0.1721,0.1649,0.1801,0.4161,0.4027,0.4288,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,10,0.4169,0.4067,0.4289,0.2947,0.2851,0.3056,0.7126,0.7015,0.7248,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,15,0.4761,0.4648,0.4884,0.3365,0.3261,0.3486,0.8138,0.8034,0.823,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,20,0.499,0.488,0.5108,0.3527,0.3418,0.3642,0.8529,0.8443,0.8612,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,25,0.5098,0.4989,0.522,0.3603,0.3503,0.3729,0.8713,0.8623,0.8784,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,30,0.5205,0.5099,0.5333,0.3679,0.3577,0.3808,0.8897,0.8822,0.8966,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,35,0.5259,0.5155,0.538,0.3717,0.3614,0.3846,0.8989,0.8919,0.9057,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,40,0.5272,0.5166,0.5393,0.3726,0.3622,0.3854,0.9011,0.894,0.908,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,45,0.5286,0.5179,0.5405,0.3736,0.3631,0.3862,0.9034,0.8965,0.9106,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,50,0.5286,0.5179,0.5405,0.3736,0.3631,0.3862,0.9034,0.8965,0.9106,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,75,0.5286,0.5179,0.5405,0.3736,0.3631,0.3862,0.9034,0.8965,0.9106,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,100,0.5313,0.5203,0.5432,0.3755,0.3648,0.3882,0.908,0.9013,0.9156,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,125,0.5326,0.5215,0.5446,0.3764,0.3657,0.3892,0.9103,0.9032,0.9179,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
detections_brief-text-t03_run02,150,0.5326,0.5215,0.5446,0.3764,0.3657,0.3892,0.9103,0.9032,0.9179,0.0147,-0.0108,0.0305,0.9913,0.0117,normal,False,0.006160164271047228,487
