label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
detections_image-t0_run01,5,0.161,0.1535,0.1673,0.1275,0.1212,0.1326,0.2184,0.2084,0.2274,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,10,0.4085,0.4004,0.418,0.3235,0.3163,0.3323,0.554,0.5433,0.5658,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,15,0.539,0.5297,0.5486,0.4268,0.418,0.4358,0.731,0.7214,0.7414,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,20,0.6,0.5905,0.6087,0.4752,0.4656,0.4839,0.8138,0.8049,0.8226,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,25,0.6305,0.6217,0.6387,0.4993,0.4901,0.5081,0.8552,0.8468,0.8635,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,30,0.6559,0.6477,0.6645,0.5195,0.5112,0.5296,0.8897,0.8825,0.8968,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,35,0.6678,0.6602,0.6759,0.5289,0.5203,0.5377,0.9057,0.9003,0.9118,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,40,0.6746,0.6669,0.6823,0.5342,0.5253,0.5435,0.9149,0.9093,0.92,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,45,0.6814,0.6735,0.6892,0.5396,0.5306,0.5488,0.9241,0.9189,0.9292,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,50,0.6814,0.6735,0.6892,0.5396,0.5306,0.5488,0.9241,0.9189,0.9292,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,75,0.6864,0.6789,0.6943,0.5436,0.5345,0.5528,0.931,0.9263,0.9353,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,100,0.6898,0.6823,0.6977,0.5463,0.5372,0.5553,0.9356,0.9307,0.9408,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,125,0.6932,0.686,0.7015,0.549,0.54,0.5584,0.9402,0.9354,0.9451,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
detections_image-t0_run01,150,0.6932,0.686,0.7015,0.549,0.54,0.5584,0.9402,0.9354,0.9451,0.3124,0.3005,0.3224,0.9956,0.1977,normal,False,0.10677618069815195,487
