label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t3,5,0.077,0.0706,0.0821,0.0662,0.0607,0.0707,0.092,0.0844,0.0979,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39014373716632444,487
consensus_t3,10,0.2964,0.2872,0.3057,0.255,0.2463,0.2639,0.354,0.3412,0.3652,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.3942505133470226,487
consensus_t3,15,0.4543,0.4443,0.465,0.3907,0.3805,0.4008,0.5425,0.5284,0.555,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.3942505133470226,487
consensus_t3,20,0.5525,0.5411,0.563,0.4752,0.4634,0.485,0.6598,0.6442,0.6746,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.3942505133470226,487
consensus_t3,25,0.5852,0.5747,0.5962,0.5033,0.4915,0.5139,0.6989,0.684,0.7137,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,30,0.6179,0.6071,0.6276,0.5315,0.5194,0.542,0.7379,0.7226,0.7527,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,35,0.6391,0.6283,0.6488,0.5497,0.5383,0.5603,0.7632,0.7476,0.778,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,40,0.6526,0.6422,0.662,0.5613,0.55,0.5722,0.7793,0.7628,0.7941,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,45,0.6603,0.6501,0.6703,0.5679,0.5562,0.5792,0.7885,0.7729,0.8034,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,50,0.6603,0.6501,0.6703,0.5679,0.5562,0.5792,0.7885,0.7729,0.8034,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,75,0.6679,0.6572,0.6777,0.5745,0.563,0.5858,0.7977,0.7813,0.8134,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,100,0.6699,0.6586,0.6796,0.5762,0.5641,0.5875,0.8,0.7836,0.816,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,125,0.6756,0.6645,0.6854,0.5811,0.5691,0.5928,0.8069,0.7897,0.8228,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
consensus_t3,150,0.6776,0.6664,0.6871,0.5828,0.5709,0.5943,0.8092,0.792,0.825,0.5664,0.5503,0.5792,0.8777,0.6822,normal,False,0.39630390143737165,487
