label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
detections_pro-image-high-t0_run01,5,0.0923,0.0689,0.1204,0.0751,0.0559,0.0986,0.1195,0.089,0.1563,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,10,0.2928,0.2531,0.3365,0.2384,0.2038,0.2768,0.3793,0.323,0.4365,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,15,0.4383,0.3949,0.4808,0.3569,0.3178,0.3984,0.5678,0.5034,0.625,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,20,0.5288,0.4818,0.5745,0.4306,0.3852,0.4761,0.6851,0.6116,0.745,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,25,0.559,0.5105,0.605,0.4552,0.4081,0.5022,0.7241,0.6478,0.7844,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,30,0.5892,0.5413,0.6338,0.4798,0.432,0.5265,0.7632,0.6863,0.8212,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,35,0.6158,0.5676,0.6602,0.5014,0.4528,0.5495,0.7977,0.7206,0.8546,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,40,0.63,0.5815,0.6732,0.513,0.4636,0.5615,0.8161,0.7382,0.8713,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,45,0.6371,0.5897,0.6802,0.5188,0.4695,0.5671,0.8253,0.7483,0.8797,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,50,0.6371,0.5897,0.6802,0.5188,0.4695,0.5671,0.8253,0.7483,0.8797,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,75,0.6442,0.5962,0.6871,0.5246,0.4748,0.5738,0.8345,0.7561,0.8886,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,100,0.6477,0.5998,0.6916,0.5275,0.4771,0.5773,0.8391,0.7605,0.8935,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,125,0.6531,0.6049,0.6965,0.5318,0.4815,0.581,0.846,0.7674,0.8994,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34291581108829566,487,processed_tiles,15
detections_pro-image-high-t0_run01,150,0.6566,0.6085,0.7003,0.5347,0.4844,0.5848,0.8506,0.772,0.9037,0.6093,0.5426,0.668,0.9476,0.6395,0.6092,0.9476,0.6396,partial_coverage,True,0.34496919917864477,487,processed_tiles,15
