label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-adversarial-image-v2-accepted,5,0.2555,0.2416,0.2685,0.3537,0.3331,0.3722,0.2,0.1884,0.2116,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5482546201232033,487
verified-adversarial-image-v2-accepted,10,0.4435,0.425,0.458,0.6138,0.5869,0.6375,0.3471,0.331,0.3615,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5523613963039015,487
verified-adversarial-image-v2-accepted,15,0.4905,0.4725,0.5064,0.6789,0.6509,0.7032,0.3839,0.3681,0.4009,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5564681724845996,487
verified-adversarial-image-v2-accepted,20,0.5081,0.489,0.5239,0.7033,0.6758,0.7277,0.3977,0.3814,0.4136,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5564681724845996,487
verified-adversarial-image-v2-accepted,25,0.514,0.4954,0.5297,0.7114,0.6835,0.7361,0.4023,0.386,0.4181,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,30,0.5169,0.4981,0.5325,0.7154,0.6873,0.7402,0.4046,0.3882,0.4203,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,35,0.5169,0.4981,0.5325,0.7154,0.6873,0.7402,0.4046,0.3882,0.4203,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,40,0.5198,0.5008,0.535,0.7195,0.6914,0.7446,0.4069,0.3906,0.423,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,45,0.5198,0.5008,0.535,0.7195,0.6914,0.7446,0.4069,0.3906,0.423,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,50,0.5198,0.5008,0.535,0.7195,0.6914,0.7446,0.4069,0.3906,0.423,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,75,0.5198,0.5008,0.535,0.7195,0.6914,0.7446,0.4069,0.3906,0.423,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,100,0.5228,0.5044,0.5378,0.7236,0.698,0.7484,0.4092,0.393,0.4254,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,125,0.5228,0.5044,0.5378,0.7236,0.698,0.7484,0.4092,0.393,0.4254,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
verified-adversarial-image-v2-accepted,150,0.5228,0.5044,0.5378,0.7236,0.698,0.7484,0.4092,0.393,0.4254,0.4396,0.4236,0.4544,0.4237,0.9458,sparse_cross_grid,True,0.5585215605749486,487
