label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-cascade-adversarial-checklist-accepted,5,0.2546,0.2028,0.3148,0.3371,0.2546,0.4179,0.2046,0.1596,0.2589,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,10,0.4378,0.3655,0.5127,0.5795,0.4504,0.6746,0.3517,0.2839,0.4252,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,15,0.4835,0.407,0.5579,0.6402,0.4977,0.7353,0.3885,0.3168,0.464,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,20,0.5036,0.4248,0.5772,0.6667,0.518,0.7619,0.4046,0.3316,0.4795,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5420944558521561,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,25,0.5093,0.4307,0.5822,0.6742,0.5235,0.7696,0.4092,0.3351,0.4839,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,30,0.515,0.4364,0.5874,0.6818,0.5312,0.7768,0.4138,0.3401,0.4882,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,35,0.515,0.4364,0.5874,0.6818,0.5312,0.7768,0.4138,0.3401,0.4882,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,40,0.5179,0.4392,0.5897,0.6856,0.5341,0.7804,0.4161,0.3421,0.4901,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,45,0.5179,0.4392,0.5897,0.6856,0.5341,0.7804,0.4161,0.3421,0.4901,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5441478439425051,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,50,0.5207,0.4422,0.5925,0.6894,0.538,0.7848,0.4184,0.3442,0.4929,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,75,0.5207,0.4422,0.5925,0.6894,0.538,0.7848,0.4184,0.3442,0.4929,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,100,0.5265,0.4509,0.5967,0.697,0.5539,0.7902,0.423,0.3487,0.4969,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,125,0.5265,0.4509,0.5967,0.697,0.5539,0.7902,0.423,0.3487,0.4969,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist-accepted,150,0.5265,0.4509,0.5967,0.697,0.5539,0.7902,0.423,0.3487,0.4969,0.4313,0.3518,0.5003,0.441,0.9302,0.4314,0.4413,0.9303,sparse_cross_grid,False,0.5462012320328542,487,zero_fraction_heuristic,
