label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-cascade-adversarial-checklist,5,0.2521,0.2006,0.3118,0.3284,0.2469,0.408,0.2046,0.1596,0.2589,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5297741273100616,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,10,0.4363,0.364,0.5099,0.5683,0.4424,0.6642,0.354,0.2854,0.4274,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5338809034907598,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,15,0.4816,0.4059,0.5561,0.6273,0.4868,0.7225,0.3908,0.3184,0.4664,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,20,0.5014,0.423,0.5751,0.6531,0.5065,0.7481,0.4069,0.3327,0.4817,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,25,0.5071,0.4282,0.5799,0.6605,0.5121,0.7551,0.4115,0.3366,0.4861,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,30,0.5127,0.434,0.5852,0.6679,0.5196,0.7629,0.4161,0.3416,0.4906,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,35,0.5127,0.434,0.5852,0.6679,0.5196,0.7629,0.4161,0.3416,0.4906,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,40,0.5156,0.4364,0.5875,0.6716,0.5224,0.7659,0.4184,0.3434,0.4925,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,45,0.5156,0.4364,0.5875,0.6716,0.5224,0.7659,0.4184,0.3434,0.4925,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,50,0.5184,0.4394,0.5897,0.6753,0.5256,0.7698,0.4207,0.3457,0.4954,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,75,0.5184,0.4394,0.5897,0.6753,0.5256,0.7698,0.4207,0.3457,0.4954,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,100,0.5241,0.4478,0.5944,0.6827,0.5394,0.7751,0.4253,0.3504,0.5,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,125,0.5241,0.4478,0.5944,0.6827,0.5394,0.7751,0.4253,0.3504,0.5,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
verified-cascade-adversarial-checklist,150,0.5241,0.4478,0.5944,0.6827,0.5394,0.7751,0.4253,0.3504,0.5,0.4182,0.3366,0.4883,0.4454,0.9186,0.4185,0.4457,0.9187,sparse_cross_grid,False,0.5400410677618069,487,zero_fraction_heuristic,
