label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-cascade-checklist-adversarial,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
verified-cascade-checklist-adversarial,150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.3719,0.4042,0.4761,0.876,sparse_cross_grid,True,0.5051334702258727,487
