label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
verified-checklist-text-v2-accepted,5,0.2708,0.2564,0.2837,0.3248,0.3079,0.3413,0.2322,0.2189,0.2443,0.356,0.3383,0.3719,0.4585,0.8643,normal,False,0.4989733059548255,487
verified-checklist-text-v2-accepted,10,0.4611,0.4436,0.4767,0.5531,0.5308,0.573,0.3954,0.3786,0.4133,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5030800821355236,487
verified-checklist-text-v2-accepted,15,0.5094,0.492,0.5251,0.6109,0.5881,0.6315,0.4368,0.419,0.4539,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5051334702258727,487
verified-checklist-text-v2-accepted,20,0.5282,0.5118,0.5446,0.6334,0.6114,0.6547,0.4529,0.4362,0.4709,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5051334702258727,487
verified-checklist-text-v2-accepted,25,0.5335,0.5173,0.5502,0.6399,0.617,0.6606,0.4575,0.4405,0.4753,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5071868583162218,487
verified-checklist-text-v2-accepted,30,0.5389,0.5221,0.5564,0.6463,0.6233,0.6672,0.4621,0.4449,0.4801,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5071868583162218,487
verified-checklist-text-v2-accepted,35,0.5389,0.5221,0.5564,0.6463,0.6233,0.6672,0.4621,0.4449,0.4801,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5071868583162218,487
verified-checklist-text-v2-accepted,40,0.5416,0.5248,0.5592,0.6495,0.6264,0.6711,0.4644,0.4461,0.4814,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5071868583162218,487
verified-checklist-text-v2-accepted,45,0.5416,0.5248,0.5592,0.6495,0.6264,0.6711,0.4644,0.4461,0.4814,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5071868583162218,487
verified-checklist-text-v2-accepted,50,0.5442,0.5276,0.5618,0.6527,0.6297,0.6744,0.4667,0.4484,0.4841,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5092402464065708,487
verified-checklist-text-v2-accepted,75,0.5442,0.5276,0.5618,0.6527,0.6297,0.6744,0.4667,0.4484,0.4841,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5092402464065708,487
verified-checklist-text-v2-accepted,100,0.5496,0.5334,0.566,0.6592,0.6372,0.6804,0.4713,0.4539,0.4888,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5092402464065708,487
verified-checklist-text-v2-accepted,125,0.5496,0.5334,0.566,0.6592,0.6372,0.6804,0.4713,0.4539,0.4888,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5092402464065708,487
verified-checklist-text-v2-accepted,150,0.5496,0.5334,0.566,0.6592,0.6372,0.6804,0.4713,0.4539,0.4888,0.356,0.3383,0.3719,0.4585,0.8643,sparse_cross_grid,True,0.5092402464065708,487
