label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adversarial-text-accepted,5,0.0687,0.0392,0.1135,0.2917,0.1935,0.4211,0.039,0.0215,0.0672,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45294117647058824,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,10,0.1604,0.0983,0.2476,0.6806,0.54,0.7899,0.0909,0.0534,0.1489,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45294117647058824,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,15,0.18,0.1101,0.2821,0.7639,0.6197,0.8714,0.102,0.0597,0.1696,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,20,0.1931,0.1215,0.2946,0.8194,0.7015,0.9016,0.1095,0.066,0.178,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,25,0.1997,0.1258,0.3094,0.8472,0.7261,0.9315,0.1132,0.0683,0.1871,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,30,0.2062,0.1327,0.3164,0.875,0.7656,0.95,0.1169,0.072,0.1913,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,35,0.2062,0.1327,0.3164,0.875,0.7656,0.95,0.1169,0.072,0.1913,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,40,0.2095,0.1356,0.3184,0.8889,0.7857,0.957,0.1187,0.0734,0.1922,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,45,0.2128,0.1374,0.3203,0.9028,0.8,0.966,0.1206,0.0744,0.1942,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,50,0.216,0.1413,0.3248,0.9167,0.8169,0.9739,0.1224,0.0767,0.196,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,75,0.216,0.1413,0.3248,0.9167,0.8169,0.9739,0.1224,0.0767,0.196,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,100,0.216,0.1413,0.3248,0.9167,0.8169,0.9739,0.1224,0.0767,0.196,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,125,0.216,0.1413,0.3248,0.9167,0.8169,0.9739,0.1224,0.0767,0.196,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-accepted,150,0.216,0.1413,0.3248,0.9167,0.8169,0.9739,0.1224,0.0767,0.196,0.235,0.1896,0.2862,0.1275,1.0,0.2337,0.1273,1.0,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
