label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
verified-adversarial-text-v2-accepted,5,0.0714,0.0412,0.1172,0.2857,0.1977,0.4,0.0408,0.0226,0.0707,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45294117647058824,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,10,0.1591,0.0964,0.2535,0.6364,0.4925,0.7641,0.0909,0.0529,0.154,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45294117647058824,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,15,0.1786,0.1092,0.2868,0.7143,0.5738,0.8354,0.102,0.0598,0.1751,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,20,0.2078,0.1346,0.3143,0.8312,0.7273,0.9079,0.1187,0.0736,0.1927,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,25,0.211,0.1363,0.3256,0.8442,0.7385,0.9298,0.1206,0.0747,0.1996,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,30,0.2143,0.14,0.3285,0.8571,0.7548,0.9375,0.1224,0.0763,0.2004,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,35,0.2143,0.14,0.3285,0.8571,0.7548,0.9375,0.1224,0.0763,0.2004,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,40,0.2143,0.14,0.3285,0.8571,0.7548,0.9375,0.1224,0.0763,0.2004,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,45,0.2175,0.1426,0.3327,0.8701,0.7705,0.9468,0.1243,0.0778,0.2031,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,50,0.2208,0.1459,0.336,0.8831,0.7857,0.9539,0.1262,0.0796,0.2051,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,75,0.2208,0.1459,0.336,0.8831,0.7857,0.9539,0.1262,0.0796,0.2051,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,100,0.2208,0.1459,0.336,0.8831,0.7857,0.9539,0.1262,0.0796,0.2051,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,125,0.2208,0.1459,0.336,0.8831,0.7857,0.9539,0.1262,0.0796,0.2051,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
verified-adversarial-text-v2-accepted,150,0.2208,0.1459,0.336,0.8831,0.7857,0.9539,0.1262,0.0796,0.2051,0.2228,0.1549,0.2747,0.1324,0.9926,0.222,0.1324,0.9927,normal,False,0.45588235294117646,340,zero_fraction_heuristic,
