label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
materialised_vt4_pt0.20,5,0.3049,0.2931,0.3141,0.3247,0.312,0.3347,0.2874,0.2766,0.2966,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5544147843942505,487
materialised_vt4_pt0.20,10,0.6927,0.6831,0.7024,0.7377,0.7277,0.7468,0.6529,0.642,0.6633,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5708418891170431,487
materialised_vt4_pt0.20,15,0.8195,0.8114,0.8274,0.8727,0.8648,0.8805,0.7724,0.7621,0.7832,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5770020533880903,487
materialised_vt4_pt0.20,20,0.861,0.8544,0.8673,0.9169,0.9112,0.9232,0.8115,0.8019,0.8209,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,25,0.8756,0.8694,0.8819,0.9325,0.9273,0.9381,0.8253,0.8167,0.8344,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,30,0.8878,0.8821,0.8936,0.9455,0.9399,0.9501,0.8368,0.8284,0.846,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,35,0.8878,0.8821,0.8936,0.9455,0.9399,0.9501,0.8368,0.8284,0.846,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,40,0.8878,0.8821,0.8936,0.9455,0.9399,0.9501,0.8368,0.8284,0.846,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,45,0.8878,0.8821,0.8936,0.9455,0.9399,0.9501,0.8368,0.8284,0.846,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,50,0.8878,0.8821,0.8936,0.9455,0.9399,0.9501,0.8368,0.8284,0.846,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,75,0.8902,0.8844,0.8959,0.9481,0.9431,0.9526,0.8391,0.8307,0.8482,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,100,0.8927,0.8868,0.8982,0.9506,0.9456,0.9551,0.8414,0.833,0.8505,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,125,0.8927,0.8868,0.8982,0.9506,0.9456,0.9551,0.8414,0.833,0.8505,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
materialised_vt4_pt0.20,150,0.8927,0.8868,0.8982,0.9506,0.9456,0.9551,0.8414,0.833,0.8505,0.7741,0.7621,0.7858,0.786,0.969,sparse_cross_grid,True,0.5790554414784395,487
