label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
materialised_vt1_pt0.40,5,0.2605,0.2207,0.3037,0.2309,0.1927,0.2733,0.2989,0.2546,0.3456,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5154004106776181,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,10,0.5752,0.5289,0.6216,0.5098,0.4579,0.5631,0.6598,0.6131,0.7043,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5297741273100616,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,15,0.6934,0.6498,0.7349,0.6146,0.5632,0.6661,0.7954,0.7505,0.8345,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,20,0.7395,0.6977,0.7783,0.6554,0.602,0.7064,0.8483,0.8049,0.8826,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,25,0.7555,0.7144,0.7924,0.6696,0.617,0.7201,0.8667,0.8253,0.8987,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,30,0.7635,0.7239,0.7996,0.6767,0.6246,0.7269,0.8759,0.8347,0.9073,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,35,0.7655,0.726,0.8012,0.6785,0.6261,0.7286,0.8782,0.8386,0.9086,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,40,0.7695,0.7301,0.805,0.6821,0.6296,0.7315,0.8828,0.8436,0.9128,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5359342915811088,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,45,0.7735,0.7344,0.8082,0.6856,0.6343,0.734,0.8874,0.8481,0.9171,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,50,0.7735,0.7344,0.8082,0.6856,0.6343,0.734,0.8874,0.8481,0.9171,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,75,0.7816,0.7436,0.8158,0.6927,0.6407,0.7412,0.8966,0.8611,0.924,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,100,0.7856,0.7494,0.819,0.6963,0.6454,0.7442,0.9011,0.8664,0.9282,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,125,0.7876,0.7507,0.8207,0.698,0.6468,0.7459,0.9034,0.8682,0.9299,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
materialised_vt1_pt0.40,150,0.7896,0.7528,0.8224,0.6998,0.6487,0.7476,0.9057,0.8711,0.9322,0.8109,0.7554,0.8593,0.8734,0.9341,0.8108,0.8733,0.9341,sparse_cross_grid,False,0.5379876796714579,487,zero_fraction_heuristic,
