label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t10,5,0.2545,0.2146,0.2991,0.1887,0.1537,0.2292,0.3908,0.3419,0.4417,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.14989733059548255,487,zero_fraction_heuristic,
consensus_t10,10,0.4686,0.4112,0.5268,0.3474,0.2917,0.4073,0.7195,0.6684,0.766,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.1601642710472279,487,zero_fraction_heuristic,
consensus_t10,15,0.5329,0.4732,0.5923,0.3951,0.3351,0.4589,0.8184,0.7735,0.8553,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,20,0.5539,0.4933,0.6129,0.4107,0.349,0.475,0.8506,0.8075,0.8848,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,25,0.5614,0.5001,0.6204,0.4162,0.3543,0.4817,0.8621,0.8205,0.8956,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,30,0.5644,0.5031,0.6241,0.4184,0.3565,0.4843,0.8667,0.826,0.8986,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,35,0.5659,0.5047,0.6254,0.4195,0.3576,0.4853,0.869,0.8283,0.9007,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,40,0.5689,0.5074,0.6282,0.4218,0.3593,0.4875,0.8736,0.8323,0.9048,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,45,0.5689,0.5074,0.6282,0.4218,0.3593,0.4875,0.8736,0.8323,0.9048,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,50,0.5689,0.5074,0.6282,0.4218,0.3593,0.4875,0.8736,0.8323,0.9048,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,75,0.5689,0.5074,0.6282,0.4218,0.3593,0.4875,0.8736,0.8323,0.9048,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,100,0.5704,0.5085,0.6297,0.4229,0.3603,0.4891,0.8759,0.8349,0.9069,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,125,0.5704,0.5085,0.6297,0.4229,0.3603,0.4891,0.8759,0.8349,0.9069,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
consensus_t10,150,0.5704,0.5085,0.6297,0.4229,0.3603,0.4891,0.8759,0.8349,0.9069,0.2082,0.1225,0.2853,0.9127,0.2442,0.2079,0.9126,0.2442,normal,False,0.162217659137577,487,zero_fraction_heuristic,
