label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t3,5,0.2415,0.2329,0.2494,0.1717,0.1644,0.1785,0.4069,0.3956,0.4175,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.08008213552361396,487
consensus_t3,10,0.4447,0.4336,0.4572,0.3162,0.305,0.3273,0.7494,0.7393,0.7601,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09034907597535935,487
consensus_t3,15,0.5061,0.4936,0.5184,0.3598,0.3476,0.3724,0.8529,0.8452,0.86,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,20,0.528,0.516,0.5401,0.3754,0.3631,0.3877,0.8897,0.8829,0.8958,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,25,0.5348,0.5228,0.5472,0.3802,0.3678,0.3928,0.9011,0.8947,0.9067,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,30,0.5389,0.5268,0.5514,0.3831,0.3707,0.3958,0.908,0.9019,0.9139,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,35,0.5416,0.5295,0.5542,0.3851,0.3726,0.3979,0.9126,0.9067,0.9186,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,40,0.5443,0.5317,0.5567,0.387,0.3745,0.3997,0.9172,0.9115,0.9233,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,45,0.5443,0.5317,0.5567,0.387,0.3745,0.3997,0.9172,0.9115,0.9233,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,50,0.5443,0.5317,0.5567,0.387,0.3745,0.3997,0.9172,0.9115,0.9233,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,75,0.5457,0.533,0.5581,0.388,0.3753,0.4005,0.9195,0.9141,0.9255,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,100,0.5471,0.5345,0.5593,0.3889,0.3762,0.4015,0.9218,0.9167,0.928,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,125,0.5471,0.5345,0.5593,0.3889,0.3762,0.4015,0.9218,0.9167,0.928,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
consensus_t3,150,0.5471,0.5345,0.5593,0.3889,0.3762,0.4015,0.9218,0.9167,0.928,0.0875,0.0688,0.1055,0.9345,0.1163,normal,False,0.09240246406570841,487
