label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
detections_brief-text-t0_run10,5,0.2544,0.2171,0.2974,0.178,0.1471,0.215,0.446,0.3971,0.4979,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,10,0.421,0.3679,0.4759,0.2945,0.248,0.3459,0.7379,0.6849,0.7862,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,15,0.4787,0.4227,0.5356,0.3349,0.2846,0.3901,0.8391,0.7938,0.8756,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,20,0.4997,0.443,0.5573,0.3495,0.2974,0.406,0.8759,0.8328,0.9082,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,25,0.5075,0.4503,0.5651,0.355,0.3024,0.4123,0.8897,0.8487,0.9198,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,30,0.5115,0.4543,0.5697,0.3578,0.305,0.4155,0.8966,0.8563,0.9251,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,35,0.5141,0.4568,0.572,0.3596,0.3064,0.4173,0.9011,0.8606,0.9286,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,40,0.5167,0.4595,0.5746,0.3615,0.3081,0.4194,0.9057,0.8653,0.9332,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,45,0.5167,0.4595,0.5746,0.3615,0.3081,0.4194,0.9057,0.8653,0.9332,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,50,0.5167,0.4595,0.5746,0.3615,0.3081,0.4194,0.9057,0.8653,0.9332,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,75,0.518,0.4605,0.5763,0.3624,0.309,0.4207,0.908,0.8678,0.9348,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,100,0.5193,0.4617,0.5771,0.3633,0.31,0.4213,0.9103,0.8703,0.9369,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,125,0.5207,0.463,0.578,0.3642,0.3107,0.4224,0.9126,0.8726,0.9389,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
detections_brief-text-t0_run10,150,0.5207,0.463,0.578,0.3642,0.3107,0.4224,0.9126,0.8726,0.9389,0.0427,0.0395,0.0823,1.0,0.0039,0.0522,1.0,0.0039,normal,False,0.002053388090349076,487,processed_tiles,0
