label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
vote4_prob0.20,5,0.2935,0.2831,0.3023,0.3198,0.3092,0.3296,0.2713,0.2615,0.28,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5503080082135524,487
vote4_prob0.20,10,0.6866,0.6766,0.6958,0.748,0.7386,0.7578,0.6345,0.6241,0.6447,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5605749486652978,487
vote4_prob0.20,15,0.8184,0.8114,0.8266,0.8916,0.8844,0.8988,0.7563,0.7464,0.7655,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5687885010266941,487
vote4_prob0.20,20,0.8507,0.844,0.8576,0.9268,0.9206,0.9323,0.7862,0.7769,0.7962,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,25,0.8607,0.854,0.8677,0.9377,0.9316,0.943,0.7954,0.7858,0.8047,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,30,0.8682,0.8614,0.8749,0.9458,0.9401,0.9504,0.8023,0.7928,0.8118,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,35,0.8682,0.8614,0.8749,0.9458,0.9401,0.9504,0.8023,0.7928,0.8118,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,40,0.8682,0.8614,0.8749,0.9458,0.9401,0.9504,0.8023,0.7928,0.8118,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,45,0.8682,0.8614,0.8749,0.9458,0.9401,0.9504,0.8023,0.7928,0.8118,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,50,0.8706,0.8643,0.8774,0.9485,0.9428,0.9532,0.8046,0.7951,0.8138,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,75,0.8706,0.8643,0.8774,0.9485,0.9428,0.9532,0.8046,0.7951,0.8138,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,100,0.8706,0.8643,0.8774,0.9485,0.9428,0.9532,0.8046,0.7951,0.8138,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,125,0.8706,0.8643,0.8774,0.9485,0.9428,0.9532,0.8046,0.7951,0.8138,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
vote4_prob0.20,150,0.8706,0.8643,0.8774,0.9485,0.9428,0.9532,0.8046,0.7951,0.8138,0.7782,0.7663,0.7896,0.7905,0.9692,sparse_cross_grid,True,0.5708418891170431,487
