label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t1,5,0.0655,0.0512,0.0836,0.0393,0.0303,0.051,0.1977,0.16,0.2427,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1293634496919918,487,zero_fraction_heuristic,
consensus_t1,10,0.1653,0.139,0.1983,0.0991,0.0816,0.1215,0.4989,0.4471,0.5542,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13141683778234087,487,zero_fraction_heuristic,
consensus_t1,15,0.2438,0.2104,0.281,0.1461,0.1234,0.1727,0.7356,0.6869,0.7813,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13347022587268995,487,zero_fraction_heuristic,
consensus_t1,20,0.2773,0.2417,0.3163,0.1662,0.1418,0.1945,0.8368,0.7934,0.8733,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13347022587268995,487,zero_fraction_heuristic,
consensus_t1,25,0.2987,0.2619,0.339,0.179,0.1533,0.2085,0.9011,0.8692,0.9274,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13347022587268995,487,zero_fraction_heuristic,
consensus_t1,30,0.3048,0.2673,0.346,0.1826,0.1565,0.2129,0.9195,0.8908,0.9431,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13552361396303902,487,zero_fraction_heuristic,
consensus_t1,35,0.3101,0.2722,0.352,0.1858,0.1593,0.2165,0.9356,0.9074,0.9572,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13552361396303902,487,zero_fraction_heuristic,
consensus_t1,40,0.3124,0.2741,0.3543,0.1872,0.1604,0.218,0.9425,0.9148,0.9633,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.13552361396303902,487,zero_fraction_heuristic,
consensus_t1,45,0.3147,0.2761,0.3573,0.1886,0.1616,0.2199,0.9494,0.922,0.969,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1375770020533881,487,zero_fraction_heuristic,
consensus_t1,50,0.317,0.2779,0.3593,0.19,0.1626,0.2211,0.9563,0.9324,0.9737,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1375770020533881,487,zero_fraction_heuristic,
consensus_t1,75,0.32,0.2806,0.3623,0.1918,0.1643,0.2231,0.9655,0.9412,0.9807,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1375770020533881,487,zero_fraction_heuristic,
consensus_t1,100,0.3223,0.2829,0.3653,0.1932,0.1655,0.2251,0.9724,0.9491,0.9863,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1375770020533881,487,zero_fraction_heuristic,
consensus_t1,125,0.3223,0.2829,0.3653,0.1932,0.1655,0.2251,0.9724,0.9491,0.9863,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1375770020533881,487,zero_fraction_heuristic,
consensus_t1,150,0.3223,0.2829,0.3653,0.1932,0.1655,0.2251,0.9724,0.9491,0.9863,0.221,0.1363,0.2909,0.9432,0.2093,0.2217,0.9434,0.2099,normal,False,0.1375770020533881,487,zero_fraction_heuristic,
