label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t7,5,0.1578,0.1233,0.2015,0.1527,0.1187,0.1955,0.1632,0.1272,0.2088,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.48459958932238195,487,zero_fraction_heuristic,
consensus_t7,10,0.4489,0.3968,0.5026,0.4344,0.3814,0.4895,0.4644,0.4102,0.5221,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.486652977412731,487,zero_fraction_heuristic,
consensus_t7,15,0.6244,0.5762,0.6709,0.6043,0.5524,0.6537,0.646,0.5932,0.6993,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.4928131416837782,487,zero_fraction_heuristic,
consensus_t7,20,0.7244,0.6814,0.7651,0.7011,0.6518,0.7465,0.7494,0.6968,0.7957,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.4928131416837782,487,zero_fraction_heuristic,
consensus_t7,25,0.7822,0.7433,0.8169,0.757,0.7093,0.7996,0.8092,0.7609,0.8501,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.4928131416837782,487,zero_fraction_heuristic,
consensus_t7,30,0.7956,0.7581,0.829,0.7699,0.7227,0.8117,0.823,0.7749,0.8621,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.4928131416837782,487,zero_fraction_heuristic,
consensus_t7,35,0.8067,0.7698,0.8392,0.7806,0.7338,0.8226,0.8345,0.7869,0.8737,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.4948665297741273,487,zero_fraction_heuristic,
consensus_t7,40,0.8178,0.782,0.849,0.7914,0.7456,0.832,0.846,0.7976,0.8846,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.4948665297741273,487,zero_fraction_heuristic,
consensus_t7,45,0.82,0.7843,0.8517,0.7935,0.7475,0.8344,0.8483,0.8,0.8866,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.49691991786447637,487,zero_fraction_heuristic,
consensus_t7,50,0.8244,0.7898,0.8544,0.7978,0.7522,0.8382,0.8529,0.8052,0.8906,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.49691991786447637,487,zero_fraction_heuristic,
consensus_t7,75,0.8289,0.7949,0.8584,0.8022,0.7569,0.8416,0.8575,0.8107,0.8945,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.49691991786447637,487,zero_fraction_heuristic,
consensus_t7,100,0.8289,0.7949,0.8584,0.8022,0.7569,0.8416,0.8575,0.8107,0.8945,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.49691991786447637,487,zero_fraction_heuristic,
consensus_t7,125,0.8289,0.7949,0.8584,0.8022,0.7569,0.8416,0.8575,0.8107,0.8945,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.49691991786447637,487,zero_fraction_heuristic,
consensus_t7,150,0.8289,0.7949,0.8584,0.8022,0.7569,0.8416,0.8575,0.8107,0.8945,0.667,0.5977,0.7316,0.8384,0.8295,0.6664,0.838,0.8293,normal,False,0.49691991786447637,487,zero_fraction_heuristic,
