label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t1,5,0.0501,0.0472,0.0525,0.0289,0.0271,0.0304,0.1885,0.1804,0.1955,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11293634496919917,487
consensus_t1,10,0.1356,0.1297,0.1409,0.0782,0.0744,0.0814,0.5103,0.4989,0.522,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11498973305954825,487
consensus_t1,15,0.2021,0.1953,0.2082,0.1165,0.1121,0.1204,0.7609,0.7505,0.77,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,20,0.2278,0.22,0.2344,0.1313,0.1262,0.1356,0.8575,0.8494,0.8654,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,25,0.2412,0.2337,0.2486,0.1391,0.1341,0.1439,0.908,0.9014,0.9138,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,30,0.2449,0.2372,0.2523,0.1412,0.1361,0.146,0.9218,0.9158,0.9275,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,35,0.2492,0.2415,0.257,0.1437,0.1386,0.1488,0.9379,0.9325,0.9428,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,40,0.2504,0.2427,0.258,0.1444,0.1393,0.1495,0.9425,0.9376,0.9469,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,45,0.2516,0.2437,0.2592,0.1451,0.1398,0.1501,0.9471,0.9428,0.9514,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,50,0.2547,0.247,0.2624,0.1468,0.1417,0.152,0.9586,0.9543,0.9626,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,75,0.2565,0.2488,0.2643,0.1479,0.1428,0.1531,0.9655,0.9618,0.969,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,100,0.2589,0.2511,0.2666,0.1493,0.1441,0.1544,0.9747,0.9712,0.9779,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,125,0.2602,0.2523,0.2679,0.15,0.1447,0.1551,0.9793,0.9765,0.9821,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
consensus_t1,150,0.2602,0.2523,0.2679,0.15,0.1447,0.1551,0.9793,0.9765,0.9821,0.215,0.1994,0.2321,0.9563,0.1822,normal,False,0.11704312114989733,487
