label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t7,5,0.17,0.1614,0.1769,0.183,0.1741,0.1905,0.1586,0.1504,0.1652,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5195071868583162,487
consensus_t7,10,0.436,0.423,0.4473,0.4695,0.4554,0.4819,0.4069,0.3952,0.4185,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5256673511293635,487
consensus_t7,15,0.6305,0.6194,0.6423,0.679,0.6663,0.6918,0.5885,0.5773,0.6027,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5297741273100616,487
consensus_t7,20,0.7167,0.7078,0.7263,0.7719,0.7602,0.7815,0.669,0.6579,0.6806,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,25,0.7512,0.7426,0.7603,0.809,0.799,0.8184,0.7011,0.6902,0.7121,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,30,0.7685,0.7596,0.7769,0.8276,0.8165,0.8362,0.7172,0.7077,0.7281,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,35,0.7759,0.7676,0.7845,0.8355,0.8245,0.8441,0.7241,0.7143,0.7345,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,40,0.7833,0.7745,0.7915,0.8435,0.8319,0.852,0.731,0.7215,0.7416,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,45,0.7857,0.777,0.794,0.8462,0.8351,0.8547,0.7333,0.7237,0.7439,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,50,0.7956,0.7879,0.8032,0.8568,0.8478,0.865,0.7425,0.7332,0.7534,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,75,0.803,0.7957,0.8098,0.8647,0.8554,0.8725,0.7494,0.7401,0.7598,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,100,0.8054,0.7978,0.8123,0.8674,0.8586,0.875,0.7517,0.7422,0.7617,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,125,0.8054,0.7978,0.8123,0.8674,0.8586,0.875,0.7517,0.7422,0.7617,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
consensus_t7,150,0.8054,0.7978,0.8123,0.8674,0.8586,0.875,0.7517,0.7422,0.7617,0.635,0.6192,0.6512,0.742,0.8839,sparse_cross_grid,True,0.5318275154004107,487
