label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t3,5,0.2191,0.1855,0.2566,0.1649,0.136,0.1983,0.3264,0.2825,0.3724,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.23408624229979466,487,zero_fraction_heuristic,
consensus_t3,10,0.4799,0.4331,0.529,0.3612,0.3152,0.4115,0.7149,0.6658,0.7608,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2402464065708419,487,zero_fraction_heuristic,
consensus_t3,15,0.5741,0.5229,0.6252,0.4321,0.3789,0.4874,0.8552,0.8112,0.8905,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.24435318275154005,487,zero_fraction_heuristic,
consensus_t3,20,0.6034,0.5509,0.6533,0.4541,0.3993,0.5101,0.8989,0.8561,0.9292,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.24435318275154005,487,zero_fraction_heuristic,
consensus_t3,25,0.6173,0.5652,0.6674,0.4646,0.4091,0.5217,0.9195,0.8846,0.9455,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,30,0.6219,0.5693,0.6718,0.4681,0.4119,0.5252,0.9264,0.8931,0.9507,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,35,0.6235,0.5707,0.6731,0.4692,0.4132,0.5266,0.9287,0.8955,0.9526,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,40,0.625,0.5721,0.6744,0.4704,0.4141,0.5278,0.931,0.8981,0.9548,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,45,0.6265,0.5735,0.6759,0.4715,0.4149,0.5288,0.9333,0.9017,0.9558,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,50,0.6265,0.5735,0.6759,0.4715,0.4149,0.5288,0.9333,0.9017,0.9558,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,75,0.6265,0.5735,0.6759,0.4715,0.4149,0.5288,0.9333,0.9017,0.9558,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,100,0.6296,0.5768,0.6794,0.4739,0.4178,0.5315,0.9379,0.9073,0.9591,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,125,0.6296,0.5768,0.6794,0.4739,0.4178,0.5315,0.9379,0.9073,0.9591,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
consensus_t3,150,0.6296,0.5768,0.6794,0.4739,0.4178,0.5315,0.9379,0.9073,0.9591,0.3738,0.2966,0.4423,0.9214,0.4031,0.3736,0.9214,0.4031,normal,False,0.2464065708418891,487,zero_fraction_heuristic,
