label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t3,5,0.1522,0.1462,0.158,0.1006,0.0962,0.105,0.3126,0.3019,0.3215,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11293634496919917,487
consensus_t3,10,0.3626,0.3533,0.3729,0.2396,0.2319,0.2482,0.7448,0.7347,0.7553,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11498973305954825,487
consensus_t3,15,0.4298,0.4197,0.4417,0.284,0.2757,0.2941,0.8828,0.8757,0.8899,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11704312114989733,487
consensus_t3,20,0.4499,0.4397,0.4615,0.2973,0.2884,0.307,0.9241,0.9183,0.9298,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,25,0.4611,0.4507,0.4725,0.3047,0.2956,0.3146,0.9471,0.9427,0.9526,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,30,0.4656,0.4551,0.4775,0.3077,0.2987,0.3182,0.9563,0.9521,0.9608,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,35,0.4656,0.4551,0.4775,0.3077,0.2987,0.3182,0.9563,0.9521,0.9608,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,40,0.4656,0.4551,0.4775,0.3077,0.2987,0.3182,0.9563,0.9521,0.9608,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,45,0.4667,0.4564,0.4786,0.3084,0.2995,0.3189,0.9586,0.9547,0.9628,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,50,0.4667,0.4564,0.4786,0.3084,0.2995,0.3189,0.9586,0.9547,0.9628,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,75,0.4678,0.4577,0.48,0.3092,0.3003,0.3196,0.9609,0.957,0.9649,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,100,0.4723,0.4617,0.4843,0.3121,0.303,0.3226,0.9701,0.9671,0.9734,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,125,0.4723,0.4617,0.4843,0.3121,0.303,0.3226,0.9701,0.9671,0.9734,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
consensus_t3,150,0.4723,0.4617,0.4843,0.3121,0.303,0.3226,0.9701,0.9671,0.9734,0.2196,0.2033,0.2365,0.9564,0.1862,normal,False,0.11909650924024641,487
