label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t1,5,0.0686,0.0652,0.0717,0.0383,0.0363,0.0401,0.3287,0.3173,0.3386,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.039014373716632446,487
consensus_t1,10,0.153,0.147,0.1595,0.0854,0.0817,0.0894,0.7333,0.7237,0.7418,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.04106776180698152,487
consensus_t1,15,0.1846,0.1782,0.192,0.1031,0.0991,0.1076,0.8851,0.8785,0.8924,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.04106776180698152,487
consensus_t1,20,0.1961,0.1895,0.2043,0.1095,0.1054,0.1145,0.9402,0.935,0.9457,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.04106776180698152,487
consensus_t1,25,0.2,0.1933,0.2079,0.1116,0.1075,0.1165,0.9586,0.9544,0.9625,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,30,0.2019,0.1952,0.2099,0.1127,0.1086,0.1177,0.9678,0.9643,0.9713,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,35,0.2023,0.1957,0.2102,0.113,0.1088,0.1179,0.9701,0.9668,0.9739,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,40,0.2033,0.1968,0.2114,0.1135,0.1094,0.1185,0.9747,0.9719,0.9779,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,45,0.2038,0.1972,0.2117,0.1138,0.1097,0.1187,0.977,0.9743,0.9801,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,50,0.2038,0.1972,0.2117,0.1138,0.1097,0.1187,0.977,0.9743,0.9801,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,75,0.2047,0.1981,0.2125,0.1143,0.1101,0.1191,0.9816,0.9791,0.9846,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,100,0.2062,0.1993,0.2138,0.1151,0.1108,0.1199,0.9885,0.9866,0.9907,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,125,0.2062,0.1993,0.2138,0.1151,0.1108,0.1199,0.9885,0.9866,0.9907,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
consensus_t1,150,0.2062,0.1993,0.2138,0.1151,0.1108,0.1199,0.9885,0.9866,0.9907,0.038,0.0185,0.057,0.9651,0.0504,normal,False,0.043121149897330596,487
