label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t1,5,0.0257,0.0206,0.0324,0.0133,0.0106,0.0169,0.3609,0.3173,0.4064,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,10,0.0549,0.045,0.0672,0.0285,0.0232,0.0351,0.7701,0.7269,0.8093,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,15,0.0659,0.0541,0.0802,0.0342,0.0279,0.0419,0.9241,0.8925,0.9481,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,20,0.0685,0.0565,0.0831,0.0355,0.0291,0.0434,0.9609,0.9395,0.9769,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,25,0.069,0.0568,0.0835,0.0358,0.0293,0.0437,0.9678,0.9488,0.9814,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,30,0.0696,0.0575,0.0845,0.0361,0.0296,0.0442,0.977,0.9602,0.9883,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,35,0.0696,0.0575,0.0845,0.0361,0.0296,0.0442,0.977,0.9602,0.9883,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,40,0.0698,0.0576,0.0847,0.0362,0.0297,0.0443,0.9793,0.9628,0.9899,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,45,0.07,0.0577,0.0849,0.0363,0.0297,0.0444,0.9816,0.9658,0.9915,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,50,0.07,0.0577,0.0849,0.0363,0.0297,0.0444,0.9816,0.9658,0.9915,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,75,0.0706,0.0583,0.0857,0.0366,0.0301,0.0448,0.9908,0.9785,0.9976,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,100,0.0708,0.0585,0.0859,0.0367,0.0301,0.0449,0.9931,0.9814,0.9978,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,125,0.0708,0.0585,0.0859,0.0367,0.0301,0.0449,0.9931,0.9814,0.9978,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
consensus_t1,150,0.0708,0.0585,0.0859,0.0367,0.0301,0.0449,0.9931,0.9814,0.9978,-0.0265,-0.1057,0.0628,0.9869,0.0078,-0.0259,0.9869,0.0078,normal,False,0.01026694045174538,487,zero_fraction_heuristic,
