label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t11,5,0.2556,0.2161,0.2988,0.1819,0.1491,0.219,0.4299,0.3783,0.4829,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.09034907597535935,487,zero_fraction_heuristic,
consensus_t11,10,0.458,0.4046,0.5149,0.3259,0.2766,0.3807,0.7701,0.7265,0.8109,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.10061601642710473,487,zero_fraction_heuristic,
consensus_t11,15,0.5181,0.4612,0.5765,0.3687,0.3151,0.4276,0.8713,0.8356,0.9022,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,20,0.5386,0.4811,0.5965,0.3833,0.3287,0.4429,0.9057,0.875,0.9317,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,25,0.5427,0.4853,0.601,0.3862,0.3313,0.4463,0.9126,0.882,0.9375,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,30,0.5468,0.4892,0.6055,0.3891,0.334,0.4495,0.9195,0.8903,0.9432,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,35,0.5482,0.4901,0.6065,0.3901,0.3349,0.4505,0.9218,0.893,0.9444,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,40,0.5496,0.492,0.6077,0.3911,0.3358,0.4515,0.9241,0.8963,0.9465,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,45,0.5496,0.492,0.6077,0.3911,0.3358,0.4515,0.9241,0.8963,0.9465,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,50,0.5496,0.492,0.6077,0.3911,0.3358,0.4515,0.9241,0.8963,0.9465,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,75,0.5523,0.4937,0.6106,0.393,0.3371,0.4534,0.9287,0.9011,0.9508,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,100,0.5523,0.4937,0.6106,0.393,0.3371,0.4534,0.9287,0.9011,0.9508,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,125,0.5523,0.4937,0.6106,0.393,0.3371,0.4534,0.9287,0.9011,0.9508,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t11,150,0.5523,0.4937,0.6106,0.393,0.3371,0.4534,0.9287,0.9011,0.9508,0.1018,0.0154,0.1852,0.9301,0.1318,0.1015,0.93,0.1318,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
