label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t1,5,0.1508,0.1229,0.1827,0.0924,0.0733,0.115,0.4092,0.3585,0.4608,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.049281314168377825,487,zero_fraction_heuristic,
consensus_t1,10,0.2897,0.2458,0.3376,0.1776,0.1461,0.2135,0.7862,0.7405,0.8273,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.053388090349075976,487,zero_fraction_heuristic,
consensus_t1,15,0.3312,0.2831,0.3807,0.203,0.1683,0.2409,0.8989,0.8669,0.9257,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.053388090349075976,487,zero_fraction_heuristic,
consensus_t1,20,0.3448,0.2952,0.3954,0.2113,0.1752,0.2505,0.9356,0.9081,0.9563,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.053388090349075976,487,zero_fraction_heuristic,
consensus_t1,25,0.3482,0.2987,0.3993,0.2134,0.1774,0.2527,0.9448,0.9188,0.9645,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,30,0.3499,0.3001,0.4011,0.2144,0.1782,0.2538,0.9494,0.9259,0.9678,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,35,0.3499,0.3001,0.4011,0.2144,0.1782,0.2538,0.9494,0.9259,0.9678,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,40,0.3515,0.3015,0.4027,0.2155,0.1792,0.2551,0.954,0.9306,0.9717,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,45,0.3515,0.3015,0.4027,0.2155,0.1792,0.2551,0.954,0.9306,0.9717,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,50,0.3524,0.302,0.4037,0.216,0.1794,0.2558,0.9563,0.9329,0.9735,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,75,0.3524,0.302,0.4037,0.216,0.1794,0.2558,0.9563,0.9329,0.9735,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,100,0.3541,0.3037,0.4057,0.217,0.1803,0.2569,0.9609,0.9393,0.9769,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,125,0.3541,0.3037,0.4057,0.217,0.1803,0.2569,0.9609,0.9393,0.9769,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
consensus_t1,150,0.3541,0.3037,0.4057,0.217,0.1803,0.2569,0.9609,0.9393,0.9769,-0.0055,-0.0955,0.0827,0.9432,0.0543,-0.0055,0.9432,0.0543,normal,False,0.055441478439425054,487,zero_fraction_heuristic,
