label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t2,5,0.2198,0.2103,0.2269,0.1516,0.1448,0.1578,0.4,0.389,0.4098,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.08213552361396304,487
consensus_t2,10,0.4169,0.4066,0.4298,0.2875,0.2781,0.2988,0.7586,0.7488,0.7674,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.09034907597535935,487
consensus_t2,15,0.4801,0.4687,0.493,0.331,0.3207,0.3436,0.8736,0.8666,0.8803,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.09034907597535935,487
consensus_t2,20,0.4991,0.4877,0.5125,0.3441,0.3332,0.3561,0.908,0.9023,0.9138,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.09240246406570841,487
consensus_t2,25,0.5041,0.4922,0.5171,0.3476,0.3367,0.3602,0.9172,0.9122,0.9232,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,30,0.5066,0.4949,0.5195,0.3493,0.3382,0.3617,0.9218,0.9173,0.9271,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,35,0.5079,0.4957,0.5205,0.3502,0.3389,0.3628,0.9241,0.9197,0.9294,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,40,0.5092,0.4967,0.5219,0.351,0.3396,0.3631,0.9264,0.922,0.9315,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,45,0.5092,0.4967,0.5219,0.351,0.3396,0.3631,0.9264,0.922,0.9315,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,50,0.5092,0.4967,0.5219,0.351,0.3396,0.3631,0.9264,0.922,0.9315,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,75,0.5104,0.4987,0.5237,0.3519,0.3409,0.3645,0.9287,0.9241,0.9341,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,100,0.5117,0.4997,0.5244,0.3528,0.3418,0.3658,0.931,0.9265,0.9365,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,125,0.5117,0.4997,0.5244,0.3528,0.3418,0.3658,0.931,0.9265,0.9365,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
consensus_t2,150,0.5117,0.4997,0.5244,0.3528,0.3418,0.3658,0.931,0.9265,0.9365,0.0651,0.0437,0.0837,0.9258,0.1124,normal,False,0.0944558521560575,487
