label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t9,5,0.313,0.3012,0.3225,0.2805,0.2678,0.2904,0.354,0.341,0.3637,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.3326488706365503,487
consensus_t9,10,0.5772,0.5666,0.589,0.5173,0.5034,0.5324,0.6529,0.642,0.6637,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,15,0.6463,0.6354,0.6565,0.5792,0.564,0.5944,0.731,0.7216,0.7411,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,20,0.6667,0.6564,0.677,0.5974,0.5825,0.6126,0.754,0.7446,0.7642,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,25,0.6707,0.6606,0.6808,0.6011,0.5851,0.6162,0.7586,0.7495,0.7681,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,30,0.6728,0.6622,0.6825,0.6029,0.5875,0.6182,0.7609,0.7519,0.7707,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,35,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,40,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,45,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,50,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,75,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,100,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,125,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
consensus_t9,150,0.6748,0.6644,0.6847,0.6047,0.5889,0.6201,0.7632,0.7544,0.7728,0.415,0.3962,0.4316,0.834,0.5695,normal,False,0.33880903490759756,487
