label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t2,5,0.1208,0.1145,0.1266,0.09,0.0853,0.0947,0.1839,0.1754,0.1915,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.1375770020533881,487
consensus_t2,10,0.3414,0.3322,0.3499,0.2542,0.2459,0.2615,0.5195,0.5089,0.5292,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.14784394250513347,487
consensus_t2,15,0.4849,0.4749,0.4942,0.3611,0.3509,0.3697,0.7379,0.7286,0.7492,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.14989733059548255,487
consensus_t2,20,0.5483,0.5377,0.5587,0.4083,0.3973,0.4188,0.8345,0.8263,0.842,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.1540041067761807,487
consensus_t2,25,0.5755,0.5653,0.5846,0.4286,0.4176,0.4388,0.8759,0.8684,0.8828,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,30,0.5967,0.5872,0.6074,0.4443,0.434,0.4554,0.908,0.902,0.9145,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,35,0.6012,0.5913,0.6115,0.4477,0.4375,0.459,0.9149,0.9087,0.9207,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,40,0.6027,0.5929,0.613,0.4488,0.4381,0.4598,0.9172,0.9111,0.9226,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,45,0.6027,0.5929,0.613,0.4488,0.4381,0.4598,0.9172,0.9111,0.9226,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,50,0.6057,0.5961,0.6158,0.4511,0.4404,0.4622,0.9218,0.9161,0.9269,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,75,0.6103,0.6,0.6199,0.4544,0.4436,0.4653,0.9287,0.9238,0.9336,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,100,0.6224,0.6126,0.6333,0.4634,0.4526,0.4754,0.9471,0.9426,0.9517,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,125,0.6254,0.6154,0.6361,0.4657,0.4551,0.4776,0.9517,0.947,0.9563,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
consensus_t2,150,0.6269,0.6167,0.6372,0.4668,0.4563,0.4785,0.954,0.9499,0.9583,0.1311,0.113,0.1516,0.8906,0.2058,normal,False,0.15811088295687886,487
