label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t3,5,0.1654,0.1335,0.2037,0.141,0.1125,0.1762,0.2,0.1628,0.2433,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.2587268993839836,487,zero_fraction_heuristic,
consensus_t3,10,0.4316,0.3855,0.4803,0.3679,0.3233,0.4155,0.5218,0.4693,0.5757,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26283367556468173,487,zero_fraction_heuristic,
consensus_t3,15,0.5608,0.5145,0.6069,0.4781,0.4297,0.5277,0.6782,0.6265,0.7251,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.2648870636550308,487,zero_fraction_heuristic,
consensus_t3,20,0.6445,0.6012,0.6856,0.5494,0.5009,0.5979,0.7793,0.7338,0.8184,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,25,0.6939,0.6503,0.7331,0.5916,0.541,0.6401,0.8391,0.7958,0.875,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,30,0.7053,0.6631,0.7441,0.6013,0.5507,0.6497,0.8529,0.8122,0.8874,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,35,0.7186,0.6789,0.7558,0.6126,0.5627,0.6605,0.869,0.8329,0.8994,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,40,0.7281,0.689,0.7643,0.6207,0.5708,0.6682,0.8805,0.8457,0.9093,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,45,0.7357,0.697,0.7712,0.6272,0.5776,0.6745,0.8897,0.8548,0.9177,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,50,0.7376,0.6993,0.7734,0.6288,0.5797,0.6765,0.892,0.8571,0.9204,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,75,0.7471,0.7091,0.7828,0.637,0.5871,0.6851,0.9034,0.8698,0.9298,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,100,0.7471,0.7091,0.7828,0.637,0.5871,0.6851,0.9034,0.8698,0.9298,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,125,0.751,0.7127,0.7866,0.6402,0.5905,0.6886,0.908,0.8746,0.9341,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
consensus_t3,150,0.751,0.7127,0.7866,0.6402,0.5905,0.6886,0.908,0.8746,0.9341,0.3241,0.2432,0.4005,0.8734,0.4186,0.324,0.8731,0.4189,normal,False,0.26899383983572894,487,zero_fraction_heuristic,
