label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t1,5,0.0755,0.0588,0.0963,0.0461,0.0354,0.0596,0.2092,0.1671,0.2546,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.09650924024640657,487,zero_fraction_heuristic,
consensus_t1,10,0.1892,0.1612,0.2208,0.1154,0.0963,0.138,0.5241,0.4736,0.5772,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.09856262833675565,487,zero_fraction_heuristic,
consensus_t1,15,0.2763,0.2395,0.3157,0.1686,0.1427,0.1975,0.7655,0.719,0.8095,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.1026694045174538,487,zero_fraction_heuristic,
consensus_t1,20,0.3087,0.2695,0.3491,0.1884,0.1605,0.2183,0.8552,0.8163,0.8866,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10677618069815195,487,zero_fraction_heuristic,
consensus_t1,25,0.3278,0.2875,0.3687,0.2,0.1711,0.2311,0.908,0.875,0.934,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10677618069815195,487,zero_fraction_heuristic,
consensus_t1,30,0.3336,0.2931,0.3749,0.2035,0.1744,0.2348,0.9241,0.8944,0.9475,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,35,0.3369,0.2963,0.3785,0.2056,0.1764,0.2371,0.9333,0.9039,0.9556,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,40,0.3378,0.2971,0.3795,0.2061,0.1768,0.2374,0.9356,0.9066,0.9571,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,45,0.3402,0.2994,0.3818,0.2076,0.1781,0.2393,0.9425,0.9145,0.9629,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,50,0.3411,0.3,0.3823,0.2081,0.1784,0.2395,0.9448,0.9161,0.9648,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,75,0.3436,0.3016,0.3851,0.2096,0.1793,0.2411,0.9517,0.9248,0.9701,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,100,0.3485,0.3064,0.3911,0.2127,0.1822,0.2446,0.9655,0.9413,0.9808,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,125,0.3494,0.3071,0.392,0.2132,0.1827,0.2454,0.9678,0.9442,0.9827,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
consensus_t1,150,0.3494,0.3071,0.392,0.2132,0.1827,0.2454,0.9678,0.9442,0.9827,0.0707,-0.0186,0.1539,0.9127,0.1318,0.0704,0.9125,0.1319,normal,False,0.10882956878850103,487,zero_fraction_heuristic,
