label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t9,5,0.1649,0.1366,0.1957,0.1238,0.1002,0.1509,0.2468,0.2086,0.287,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.07941176470588235,340,zero_fraction_heuristic,
consensus_t9,10,0.4092,0.3594,0.4609,0.3073,0.2613,0.3579,0.6122,0.5522,0.6678,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09117647058823529,340,zero_fraction_heuristic,
consensus_t9,15,0.5245,0.4698,0.5796,0.3939,0.3396,0.4507,0.7848,0.7273,0.832,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09411764705882353,340,zero_fraction_heuristic,
consensus_t9,20,0.5691,0.5134,0.623,0.4274,0.3709,0.4848,0.8516,0.8014,0.8906,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09411764705882353,340,zero_fraction_heuristic,
consensus_t9,25,0.589,0.5331,0.6427,0.4423,0.385,0.5014,0.8813,0.8336,0.9156,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,30,0.6001,0.544,0.6538,0.4507,0.392,0.5099,0.898,0.856,0.9283,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,35,0.6076,0.5512,0.6616,0.4562,0.3972,0.5164,0.9091,0.8671,0.9384,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,40,0.6138,0.557,0.667,0.4609,0.4014,0.5208,0.9184,0.882,0.9449,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,45,0.615,0.5581,0.6679,0.4618,0.4021,0.5215,0.9202,0.8842,0.9466,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,50,0.6162,0.5596,0.6687,0.4628,0.403,0.5222,0.9221,0.8867,0.948,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,75,0.6224,0.5657,0.6754,0.4674,0.4067,0.5269,0.9314,0.8988,0.9542,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,100,0.6262,0.5689,0.6788,0.4702,0.4092,0.5298,0.9369,0.9061,0.9586,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,125,0.6286,0.5712,0.6812,0.4721,0.4111,0.5316,0.9406,0.9101,0.9616,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
consensus_t9,150,0.6286,0.5712,0.6812,0.4721,0.4111,0.5316,0.9406,0.9101,0.9616,0.1581,0.0471,0.2641,0.9363,0.1618,0.1576,0.936,0.1621,normal,False,0.09705882352941177,340,zero_fraction_heuristic,
