label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t2,5,0.067,0.0642,0.0697,0.0376,0.0358,0.0392,0.3117,0.3045,0.319,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.011764705882352941,340
consensus_t2,10,0.1468,0.1415,0.1524,0.0823,0.0789,0.0857,0.6827,0.6736,0.692,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,15,0.1827,0.1766,0.1891,0.1024,0.0986,0.1063,0.8497,0.8422,0.8564,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,20,0.1975,0.1912,0.2041,0.1106,0.1067,0.1148,0.9184,0.913,0.9238,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,25,0.2035,0.1971,0.2101,0.114,0.11,0.1181,0.9462,0.9422,0.9504,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,30,0.2051,0.1988,0.2116,0.1149,0.1109,0.119,0.9536,0.9501,0.9576,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,35,0.2059,0.1994,0.2124,0.1153,0.1113,0.1194,0.9573,0.9541,0.9614,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,40,0.2063,0.1998,0.2128,0.1156,0.1115,0.1197,0.9592,0.9561,0.9629,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,45,0.2071,0.2005,0.2136,0.116,0.1119,0.1201,0.9629,0.96,0.9664,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,50,0.2083,0.2018,0.2149,0.1167,0.1125,0.1208,0.9685,0.9655,0.9712,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,75,0.2095,0.203,0.2161,0.1173,0.1131,0.1215,0.974,0.9712,0.9769,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,100,0.2107,0.204,0.2172,0.118,0.1138,0.1221,0.9796,0.9775,0.9817,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,125,0.2107,0.204,0.2172,0.118,0.1138,0.1221,0.9796,0.9775,0.9817,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
consensus_t2,150,0.2107,0.204,0.2172,0.118,0.1138,0.1221,0.9796,0.9775,0.9817,-0.0181,-0.0385,-0.0019,0.9804,0.0148,normal,False,0.01764705882352941,340
