label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t2,5,0.1123,0.0909,0.136,0.0718,0.0569,0.089,0.2579,0.2169,0.2998,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.041176470588235294,340,zero_fraction_heuristic,
consensus_t2,10,0.2723,0.232,0.3149,0.1741,0.1439,0.2075,0.6252,0.5772,0.6756,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,15,0.3539,0.3041,0.4045,0.2262,0.1877,0.2672,0.8126,0.7672,0.8519,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,20,0.383,0.3303,0.4362,0.2448,0.2038,0.2885,0.8794,0.8434,0.9088,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,25,0.3984,0.345,0.4528,0.2546,0.2129,0.2993,0.9147,0.8846,0.9385,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,30,0.4057,0.351,0.4596,0.2593,0.2164,0.304,0.9314,0.9055,0.9521,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,35,0.4097,0.3545,0.4639,0.2619,0.2185,0.3068,0.9406,0.9167,0.9593,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,40,0.4097,0.3545,0.4639,0.2619,0.2185,0.3068,0.9406,0.9167,0.9593,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,45,0.4097,0.3545,0.4639,0.2619,0.2185,0.3068,0.9406,0.9167,0.9593,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,50,0.4113,0.3558,0.4657,0.2629,0.2195,0.3082,0.9443,0.9205,0.9626,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,75,0.4154,0.3598,0.4696,0.2655,0.2217,0.3111,0.9536,0.9316,0.9698,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,100,0.4186,0.3626,0.4732,0.2676,0.2237,0.3135,0.961,0.942,0.9755,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,125,0.4202,0.3639,0.475,0.2686,0.2245,0.3146,0.9647,0.9459,0.9783,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
consensus_t2,150,0.421,0.3648,0.4755,0.2691,0.2251,0.3149,0.9666,0.9493,0.9794,0.1021,-0.0098,0.2033,0.9706,0.0735,0.102,0.9705,0.0739,normal,False,0.047058823529411764,340,zero_fraction_heuristic,
