label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t5,5,0.2225,0.214,0.2291,0.2737,0.2646,0.2811,0.1874,0.179,0.1935,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.38235294117647056,340
consensus_t5,10,0.5198,0.5089,0.5305,0.6396,0.6289,0.6515,0.4378,0.4256,0.4477,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.4,340
consensus_t5,15,0.6586,0.6476,0.6691,0.8103,0.8005,0.8204,0.5547,0.5423,0.5668,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40294117647058825,340
consensus_t5,20,0.7048,0.6954,0.7139,0.8672,0.8601,0.8758,0.5937,0.5827,0.6046,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40294117647058825,340
consensus_t5,25,0.7137,0.7039,0.722,0.878,0.871,0.8871,0.6011,0.59,0.6117,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,30,0.7269,0.7174,0.7348,0.8943,0.8879,0.902,0.6122,0.6014,0.6234,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,35,0.7291,0.7194,0.7376,0.897,0.8904,0.9048,0.6141,0.6028,0.6254,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,40,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,45,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,50,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,75,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,100,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,125,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
consensus_t5,150,0.7313,0.7218,0.7397,0.8997,0.8935,0.9077,0.616,0.6049,0.6268,0.5385,0.5236,0.5569,0.6961,0.8529,normal,False,0.40588235294117647,340
