label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t20,5,0.3065,0.2624,0.353,0.2769,0.232,0.3247,0.3432,0.2941,0.3942,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.16176470588235295,340,zero_fraction_heuristic,
consensus_t20,10,0.5684,0.5126,0.6229,0.5135,0.4489,0.5762,0.6364,0.5777,0.6935,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.1676470588235294,340,zero_fraction_heuristic,
consensus_t20,15,0.6562,0.6013,0.7081,0.5928,0.5242,0.656,0.7347,0.6789,0.7853,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17058823529411765,340,zero_fraction_heuristic,
consensus_t20,20,0.691,0.6364,0.7418,0.6243,0.5548,0.6881,0.7737,0.7177,0.8209,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17352941176470588,340,zero_fraction_heuristic,
consensus_t20,25,0.7059,0.6515,0.7556,0.6377,0.5664,0.7005,0.7904,0.7345,0.8367,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17352941176470588,340,zero_fraction_heuristic,
consensus_t20,30,0.7225,0.6684,0.7705,0.6527,0.581,0.7159,0.8089,0.7545,0.8529,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,35,0.7241,0.67,0.772,0.6542,0.5824,0.7173,0.8108,0.7564,0.8548,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,40,0.7274,0.6737,0.7744,0.6572,0.5849,0.7195,0.8145,0.7619,0.8571,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,45,0.7291,0.6755,0.7755,0.6587,0.587,0.721,0.8163,0.7648,0.8582,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,50,0.7307,0.6782,0.777,0.6602,0.5881,0.7222,0.8182,0.7672,0.8598,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,75,0.7307,0.6782,0.777,0.6602,0.5881,0.7222,0.8182,0.7672,0.8598,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,100,0.7324,0.68,0.778,0.6617,0.5898,0.7235,0.82,0.7711,0.861,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,125,0.7324,0.68,0.778,0.6617,0.5898,0.7235,0.82,0.7711,0.861,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
consensus_t20,150,0.7341,0.6818,0.78,0.6632,0.5914,0.7254,0.8219,0.7731,0.8628,0.2673,0.1581,0.3692,0.8824,0.3382,0.2675,0.8822,0.3388,normal,False,0.17647058823529413,340,zero_fraction_heuristic,
