label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t5,5,0.2494,0.2408,0.2563,0.1878,0.1806,0.1941,0.3711,0.3611,0.3805,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.06764705882352941,340
consensus_t5,10,0.4638,0.4545,0.4738,0.3493,0.3403,0.3586,0.6902,0.6806,0.6995,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07352941176470588,340
consensus_t5,15,0.5387,0.5288,0.5482,0.4056,0.3954,0.4157,0.8015,0.7927,0.8099,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,20,0.5698,0.5594,0.5798,0.4291,0.4183,0.4392,0.8479,0.8398,0.8551,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,25,0.5823,0.5724,0.5911,0.4385,0.4284,0.449,0.8664,0.8586,0.8727,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,30,0.5923,0.582,0.6013,0.446,0.4358,0.4566,0.8813,0.8748,0.8872,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,35,0.5948,0.5846,0.6043,0.4479,0.4375,0.4586,0.885,0.8787,0.8908,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,40,0.5948,0.5846,0.6043,0.4479,0.4375,0.4586,0.885,0.8787,0.8908,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,45,0.596,0.5858,0.6056,0.4488,0.4384,0.4594,0.8868,0.8807,0.8925,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,50,0.5998,0.5898,0.6091,0.4516,0.441,0.4619,0.8924,0.8858,0.8981,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,75,0.601,0.5913,0.6105,0.4526,0.4421,0.463,0.8942,0.8875,0.8999,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,100,0.6035,0.5937,0.6123,0.4545,0.444,0.4647,0.898,0.8918,0.9028,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,125,0.6035,0.5937,0.6123,0.4545,0.444,0.4647,0.898,0.8918,0.9028,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
consensus_t5,150,0.6047,0.595,0.6137,0.4554,0.4449,0.4656,0.8998,0.894,0.9047,0.0948,0.0738,0.114,0.9362,0.1179,normal,False,0.07941176470588235,340
