label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t16,5,0.1678,0.1622,0.1739,0.1544,0.1492,0.1605,0.1837,0.1771,0.1901,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.14705882352941177,340
consensus_t16,10,0.4102,0.4028,0.4187,0.3775,0.37,0.3858,0.449,0.4398,0.4576,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.15588235294117647,340
consensus_t16,15,0.5627,0.5553,0.5711,0.5179,0.5103,0.5267,0.616,0.6068,0.625,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.16176470588235295,340
consensus_t16,20,0.6492,0.6425,0.6579,0.5975,0.5904,0.606,0.7106,0.7008,0.72,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.16470588235294117,340
consensus_t16,25,0.6915,0.6849,0.6994,0.6365,0.6287,0.6448,0.757,0.7479,0.7664,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.16470588235294117,340
consensus_t16,30,0.7169,0.7102,0.7244,0.6599,0.6519,0.6684,0.7848,0.7768,0.7936,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.16470588235294117,340
consensus_t16,35,0.7407,0.7348,0.7476,0.6817,0.6735,0.6901,0.8108,0.8038,0.8188,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.16470588235294117,340
consensus_t16,40,0.7627,0.7572,0.7692,0.702,0.6944,0.71,0.8349,0.8269,0.843,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
consensus_t16,45,0.7678,0.7622,0.7742,0.7067,0.6981,0.7144,0.8404,0.8329,0.8483,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
consensus_t16,50,0.7746,0.769,0.781,0.7129,0.7041,0.7207,0.8479,0.8401,0.8558,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
consensus_t16,75,0.7847,0.779,0.7913,0.7223,0.7138,0.7302,0.859,0.8508,0.8664,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
consensus_t16,100,0.7864,0.7809,0.7929,0.7239,0.7154,0.7316,0.8609,0.8525,0.8681,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
consensus_t16,125,0.7881,0.7825,0.7944,0.7254,0.7173,0.7335,0.8627,0.8547,0.8699,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
consensus_t16,150,0.7915,0.786,0.7976,0.7285,0.7204,0.7364,0.8664,0.8579,0.8734,0.1671,0.1449,0.1847,0.8675,0.2651,normal,False,0.1676470588235294,340
