label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
consensus_t27,5,0.3131,0.3029,0.3225,0.2977,0.287,0.3072,0.3302,0.3203,0.3406,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.1588235294117647,340
consensus_t27,10,0.5664,0.5555,0.5771,0.5385,0.5257,0.5503,0.5974,0.5832,0.6086,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.16470588235294117,340
consensus_t27,15,0.6473,0.6373,0.6574,0.6154,0.6048,0.6268,0.6827,0.6707,0.6948,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17058823529411765,340
consensus_t27,20,0.6807,0.6709,0.6902,0.6472,0.6359,0.6585,0.718,0.7063,0.7289,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,25,0.6966,0.687,0.7056,0.6622,0.6514,0.6732,0.7347,0.7231,0.745,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,30,0.7071,0.6983,0.7158,0.6722,0.6608,0.6821,0.7458,0.735,0.7556,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,35,0.7106,0.7014,0.7187,0.6756,0.6646,0.687,0.7495,0.7387,0.7594,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,40,0.7159,0.7066,0.7236,0.6806,0.6695,0.6913,0.7551,0.744,0.7644,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,45,0.7177,0.7087,0.7258,0.6823,0.6709,0.6924,0.757,0.7461,0.7665,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,50,0.7194,0.7106,0.7272,0.6839,0.6729,0.6945,0.7588,0.7477,0.7684,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,75,0.7212,0.7122,0.7285,0.6856,0.6741,0.6951,0.7607,0.7491,0.77,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,100,0.7212,0.7122,0.7285,0.6856,0.6741,0.6951,0.7607,0.7491,0.77,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,125,0.7212,0.7122,0.7285,0.6856,0.6741,0.6951,0.7607,0.7491,0.77,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
consensus_t27,150,0.723,0.7138,0.7304,0.6873,0.6758,0.6971,0.7625,0.7513,0.7716,0.2159,0.1949,0.2342,0.8625,0.3168,normal,False,0.17352941176470588,340
