label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
consensus_t1,5,0.1053,0.0837,0.1292,0.0613,0.0475,0.0771,0.3729,0.3301,0.4184,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.03235294117647059,340,zero_fraction_heuristic,
consensus_t1,10,0.2043,0.166,0.245,0.1189,0.094,0.1466,0.7236,0.6768,0.7678,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.03823529411764706,340,zero_fraction_heuristic,
consensus_t1,15,0.2399,0.1962,0.2861,0.1397,0.1111,0.1712,0.8497,0.8049,0.8864,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.041176470588235294,340,zero_fraction_heuristic,
consensus_t1,20,0.2546,0.2093,0.3018,0.1482,0.1185,0.1809,0.9017,0.8678,0.9292,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,25,0.2572,0.2118,0.3051,0.1497,0.12,0.1831,0.9109,0.8776,0.9369,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,30,0.2583,0.2127,0.3061,0.1504,0.1204,0.1834,0.9147,0.8841,0.9392,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,35,0.2593,0.2135,0.3074,0.151,0.1208,0.1842,0.9184,0.888,0.943,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,40,0.2598,0.2141,0.3081,0.1513,0.121,0.1845,0.9202,0.8898,0.9446,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,45,0.2603,0.2144,0.3089,0.1516,0.1213,0.1851,0.9221,0.892,0.9459,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,50,0.2614,0.2151,0.3098,0.1522,0.1218,0.1857,0.9258,0.8964,0.9487,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,75,0.2614,0.2151,0.3098,0.1522,0.1218,0.1857,0.9258,0.8964,0.9487,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,100,0.2635,0.2169,0.3122,0.1534,0.1228,0.187,0.9332,0.9046,0.9551,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,125,0.264,0.2174,0.3126,0.1537,0.123,0.1874,0.9351,0.9079,0.9562,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
consensus_t1,150,0.2651,0.2182,0.3136,0.1543,0.1236,0.188,0.9388,0.9121,0.9592,0.0454,-0.0614,0.1561,0.9608,0.0588,0.0453,0.9607,0.0591,normal,False,0.04411764705882353,340,zero_fraction_heuristic,
