label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
A,5,0.1288,0.101,0.1615,0.1313,0.1027,0.1653,0.1265,0.0988,0.1591,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,10,0.3809,0.3332,0.4324,0.388,0.3394,0.4414,0.374,0.3233,0.429,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,15,0.568,0.5154,0.6217,0.5787,0.5247,0.6342,0.5577,0.4972,0.6171,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,20,0.664,0.6137,0.7123,0.6765,0.6256,0.726,0.6519,0.59,0.7088,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,25,0.7138,0.6669,0.7575,0.7273,0.6792,0.7722,0.7009,0.6395,0.7546,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,30,0.7426,0.6984,0.7829,0.7566,0.7101,0.7987,0.7291,0.6696,0.7805,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,35,0.7641,0.7226,0.8024,0.7786,0.7329,0.8182,0.7503,0.6925,0.8001,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,40,0.7827,0.742,0.819,0.7974,0.7522,0.8356,0.7685,0.7104,0.8172,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,45,0.7921,0.7522,0.8274,0.807,0.7624,0.8442,0.7777,0.7202,0.8255,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,50,0.7985,0.7588,0.8334,0.8136,0.7692,0.8503,0.784,0.7267,0.8314,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,75,0.8099,0.7709,0.8433,0.8252,0.781,0.8615,0.7952,0.7382,0.842,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,100,0.8129,0.7744,0.8459,0.8282,0.784,0.8643,0.7981,0.7415,0.8442,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,125,0.8137,0.7752,0.8466,0.829,0.7848,0.8649,0.7989,0.7423,0.8449,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
A,150,0.8152,0.7771,0.848,0.8305,0.7864,0.8662,0.8004,0.7436,0.8463,0.6603,0.5723,0.7359,0.8411,0.825,0.6601,0.8409,0.8252,normal,False,0.0,0,,
