label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
B,5,0.1065,0.0832,0.1341,0.0882,0.0685,0.1121,0.1343,0.1048,0.169,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,10,0.3201,0.28,0.3653,0.265,0.2288,0.3065,0.4041,0.3525,0.4583,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,15,0.489,0.4435,0.5372,0.405,0.3622,0.4517,0.6171,0.5579,0.673,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,20,0.5768,0.5321,0.6227,0.4777,0.433,0.5246,0.728,0.6691,0.7792,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,25,0.6212,0.5787,0.6637,0.5145,0.4705,0.56,0.7841,0.7293,0.8296,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,30,0.6509,0.6105,0.6901,0.5391,0.4956,0.5828,0.8215,0.7701,0.8626,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,35,0.6695,0.6291,0.7081,0.5545,0.5103,0.5983,0.8449,0.7941,0.8842,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,40,0.6795,0.6401,0.7169,0.5627,0.5186,0.6059,0.8575,0.8086,0.8951,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,45,0.688,0.6499,0.7245,0.5698,0.526,0.6127,0.8683,0.8225,0.9031,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,50,0.6945,0.6567,0.7301,0.5753,0.5314,0.6177,0.8764,0.8316,0.91,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,75,0.7128,0.676,0.747,0.5903,0.5462,0.6326,0.8994,0.857,0.9294,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,100,0.7204,0.6846,0.7539,0.5967,0.5532,0.6389,0.9091,0.8691,0.9372,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,125,0.7222,0.6865,0.7556,0.5981,0.5546,0.6404,0.9113,0.8723,0.9391,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
B,150,0.7263,0.6909,0.7593,0.6015,0.5579,0.6436,0.9165,0.8782,0.9429,0.5325,0.4372,0.6197,0.903,0.5926,0.5321,0.9029,0.5925,normal,False,0.0,0,,
