label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
B,5,0.1302,0.1241,0.1361,0.1615,0.1542,0.1686,0.1091,0.1038,0.1143,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,10,0.3801,0.3702,0.3898,0.4717,0.4608,0.4827,0.3184,0.3084,0.3273,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,15,0.5605,0.5508,0.5705,0.6958,0.6861,0.7061,0.4694,0.4588,0.48,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,20,0.6455,0.6361,0.6552,0.8012,0.7927,0.8093,0.5406,0.5296,0.5517,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,25,0.684,0.6751,0.693,0.849,0.8415,0.8553,0.5729,0.5618,0.5839,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,30,0.7026,0.694,0.7112,0.8721,0.8653,0.8783,0.5885,0.5777,0.5996,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,35,0.7128,0.7042,0.721,0.8847,0.8783,0.8908,0.597,0.586,0.6074,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,40,0.7195,0.7107,0.7274,0.8929,0.8868,0.8987,0.6026,0.5914,0.613,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,45,0.7235,0.7146,0.7314,0.8979,0.8916,0.9031,0.606,0.5947,0.6164,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,50,0.7266,0.7179,0.7345,0.9017,0.8958,0.9072,0.6085,0.5972,0.6189,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,75,0.7332,0.7246,0.7412,0.9099,0.9043,0.9153,0.6141,0.6026,0.6246,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,100,0.7349,0.7262,0.7428,0.9121,0.9063,0.9172,0.6156,0.6041,0.6262,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,125,0.7363,0.7274,0.7441,0.9138,0.9081,0.919,0.6167,0.6051,0.6272,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
B,150,0.7363,0.7274,0.7441,0.9138,0.9081,0.919,0.6167,0.6051,0.6272,0.6645,0.6508,0.6788,0.751,0.9265,normal,False,0.0,0
