label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
C,5,0.1279,0.1225,0.133,0.1317,0.126,0.137,0.1243,0.1189,0.1292,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,10,0.3702,0.3614,0.3795,0.3811,0.3721,0.3908,0.3599,0.3506,0.3697,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,15,0.5576,0.5486,0.5667,0.5739,0.5647,0.5839,0.5421,0.5317,0.5518,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,20,0.6713,0.6631,0.68,0.691,0.683,0.6999,0.6527,0.6423,0.6625,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,25,0.7224,0.715,0.7303,0.7436,0.7366,0.752,0.7024,0.6922,0.7119,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,30,0.7468,0.7399,0.7544,0.7688,0.7621,0.7763,0.7262,0.7162,0.7357,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,35,0.7724,0.7658,0.7793,0.7951,0.788,0.8025,0.751,0.7413,0.7602,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,40,0.7815,0.7752,0.7883,0.8045,0.7975,0.812,0.7599,0.7502,0.7689,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,45,0.788,0.7816,0.7945,0.8111,0.8041,0.8183,0.7662,0.7566,0.775,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,50,0.7968,0.7906,0.8033,0.8202,0.8132,0.8272,0.7748,0.7651,0.7838,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,75,0.8067,0.8005,0.8134,0.8304,0.8233,0.8374,0.7844,0.7745,0.7934,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,100,0.8094,0.8032,0.8159,0.8332,0.8262,0.8403,0.787,0.7775,0.7958,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,125,0.8098,0.8035,0.8162,0.8336,0.8266,0.8407,0.7874,0.7779,0.7963,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
C,150,0.8109,0.8046,0.8173,0.8348,0.8278,0.842,0.7885,0.7787,0.7974,0.6542,0.6391,0.6702,0.8382,0.8221,normal,False,0.0,0
