label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
D,5,0.1155,0.0844,0.153,0.1875,0.1387,0.2441,0.0835,0.0602,0.1127,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,10,0.3379,0.2856,0.3947,0.5474,0.4789,0.6169,0.2445,0.2009,0.2937,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,15,0.4697,0.4141,0.5271,0.7609,0.6999,0.8155,0.3399,0.2895,0.3946,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,20,0.5297,0.4727,0.5857,0.8586,0.8069,0.9011,0.3833,0.3294,0.439,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,25,0.5543,0.497,0.6089,0.8982,0.853,0.9328,0.4011,0.3464,0.4573,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,30,0.5686,0.5115,0.6219,0.9214,0.8805,0.9512,0.4115,0.356,0.4673,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,35,0.5773,0.5198,0.6307,0.9355,0.8965,0.9628,0.4178,0.3616,0.4738,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,40,0.5794,0.5218,0.6326,0.9388,0.9007,0.9653,0.4193,0.363,0.4754,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,45,0.5819,0.5248,0.6348,0.9429,0.906,0.9681,0.4212,0.365,0.4773,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,50,0.584,0.527,0.6368,0.9462,0.9098,0.9704,0.4226,0.3665,0.4789,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,75,0.588,0.5306,0.641,0.9527,0.9172,0.9751,0.4256,0.3691,0.4821,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,100,0.5896,0.5323,0.6424,0.9553,0.9203,0.9769,0.4267,0.3703,0.4831,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,125,0.5901,0.533,0.6428,0.9561,0.9214,0.9775,0.4271,0.3708,0.4833,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
D,150,0.5901,0.533,0.6428,0.9561,0.9214,0.9775,0.4271,0.3708,0.4833,0.5887,0.5216,0.6508,0.598,0.9809,0.5884,0.5981,0.9809,normal,False,0.0,0,,
