label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,mcc_boot_mean,sensitivity_boot_mean,specificity_boot_mean,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles,coverage_source,n_unprocessed_tiles
E,5,0.136,0.1068,0.1706,0.1401,0.11,0.1762,0.1321,0.1029,0.167,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,10,0.3814,0.3367,0.4295,0.3928,0.347,0.4418,0.3707,0.3221,0.4227,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,15,0.564,0.5158,0.6133,0.5808,0.5322,0.6302,0.548,0.4908,0.6047,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,20,0.6705,0.6231,0.7161,0.6905,0.6423,0.7371,0.6516,0.5908,0.7063,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,25,0.7243,0.6793,0.7653,0.7459,0.7013,0.788,0.7039,0.6425,0.7564,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,30,0.7541,0.7112,0.7925,0.7766,0.734,0.8163,0.7328,0.6724,0.7834,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,35,0.7739,0.7317,0.8105,0.797,0.7551,0.8351,0.7521,0.6924,0.8019,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,40,0.7846,0.7446,0.8196,0.808,0.7668,0.8447,0.7625,0.7045,0.8105,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,45,0.7907,0.7508,0.8251,0.8144,0.7733,0.8505,0.7685,0.7106,0.8162,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,50,0.7995,0.7601,0.8329,0.8234,0.783,0.8589,0.777,0.7189,0.8241,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,75,0.8094,0.7711,0.8421,0.8337,0.7932,0.8685,0.7867,0.729,0.8332,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,100,0.8129,0.7753,0.8448,0.8372,0.7975,0.8715,0.79,0.733,0.8358,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,125,0.8144,0.777,0.8462,0.8387,0.7995,0.8728,0.7915,0.7344,0.8373,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
E,150,0.8148,0.7774,0.8465,0.8391,0.7999,0.8732,0.7918,0.7349,0.8375,0.6601,0.5726,0.7355,0.8362,0.8309,0.6598,0.836,0.8309,normal,False,0.0,0,,
