label,buffer_metres,f1,f1_ci_lower,f1_ci_upper,precision,p_ci_lower,p_ci_upper,recall,r_ci_lower,r_ci_upper,mcc,mcc_ci_lower,mcc_ci_upper,sensitivity,specificity,coverage_status,ci_unreliable,ci_zero_fraction,ci_n_tiles
E,5,0.1189,0.1124,0.1246,0.2048,0.1938,0.2138,0.0839,0.0789,0.0882,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,10,0.3203,0.3108,0.3302,0.5512,0.5383,0.5644,0.226,0.2178,0.234,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,15,0.4509,0.4407,0.4621,0.7766,0.7652,0.7874,0.318,0.3091,0.3281,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,20,0.5077,0.4975,0.5181,0.8738,0.8651,0.8819,0.3581,0.3483,0.3678,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,25,0.5324,0.5222,0.543,0.9165,0.9091,0.9233,0.3755,0.3656,0.3855,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,30,0.5413,0.5315,0.5521,0.932,0.9256,0.9379,0.3818,0.372,0.392,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,35,0.5482,0.538,0.5585,0.9438,0.938,0.949,0.3866,0.3766,0.3967,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,40,0.5513,0.5411,0.5615,0.9491,0.9436,0.9542,0.3889,0.379,0.3989,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,45,0.5534,0.5433,0.5637,0.9526,0.9472,0.9576,0.3904,0.3803,0.4003,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,50,0.555,0.5448,0.5654,0.9552,0.95,0.9601,0.3915,0.3814,0.4015,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,75,0.5565,0.5458,0.5666,0.9578,0.9525,0.9626,0.3926,0.3822,0.4024,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,100,0.5565,0.5458,0.5666,0.9578,0.9525,0.9626,0.3926,0.3822,0.4024,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,125,0.557,0.5464,0.5672,0.9586,0.9533,0.9634,0.393,0.3826,0.4029,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
E,150,0.557,0.5464,0.5672,0.9586,0.9533,0.9634,0.393,0.3826,0.4029,0.5836,0.573,0.5965,0.5833,0.9868,normal,False,0.0,0
